/home/yunhui/anaconda2/lib/python2.7/site-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
/home/yunhui/anaconda2/lib/python2.7/site-packages/torchvision/transforms/transforms.py:188: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  "please use transforms.Resize instead.")
Files already downloaded and verified
Downloading http://www.vision.caltech.edu/Image_Datasets/Caltech256/256_ObjectCategories.tar to ./256_ObjectCategories.tar
[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]
Epoch 0 | Batch 0/1063 | Loss 5.372280 | Top1 Val 0.000000 | Top1 Avg 0.000000
Epoch 0 | Batch 10/1063 | Loss 4.841687 | Top1 Val 0.000000 | Top1 Avg 3.409091
Epoch 0 | Batch 20/1063 | Loss 4.437541 | Top1 Val 0.000000 | Top1 Avg 4.166667
Epoch 0 | Batch 30/1063 | Loss 4.193267 | Top1 Val 0.000000 | Top1 Avg 3.629032
Epoch 0 | Batch 40/1063 | Loss 4.034413 | Top1 Val 6.250000 | Top1 Avg 5.030488
Epoch 0 | Batch 50/1063 | Loss 3.974059 | Top1 Val 12.500000 | Top1 Avg 4.901961
Epoch 0 | Batch 60/1063 | Loss 3.930826 | Top1 Val 0.000000 | Top1 Avg 4.610656
Epoch 0 | Batch 70/1063 | Loss 3.875227 | Top1 Val 6.250000 | Top1 Avg 4.665493
Epoch 0 | Batch 80/1063 | Loss 3.834732 | Top1 Val 6.250000 | Top1 Avg 4.861111
Epoch 0 | Batch 90/1063 | Loss 3.791815 | Top1 Val 18.750000 | Top1 Avg 5.219780
Epoch 0 | Batch 100/1063 | Loss 3.762567 | Top1 Val 12.500000 | Top1 Avg 5.569307
Epoch 0 | Batch 110/1063 | Loss 3.741212 | Top1 Val 6.250000 | Top1 Avg 5.968468
Epoch 0 | Batch 120/1063 | Loss 3.732735 | Top1 Val 0.000000 | Top1 Avg 6.043388
Epoch 0 | Batch 130/1063 | Loss 3.721174 | Top1 Val 6.250000 | Top1 Avg 5.916031
Epoch 0 | Batch 140/1063 | Loss 3.702378 | Top1 Val 6.250000 | Top1 Avg 5.806738
Epoch 0 | Batch 150/1063 | Loss 3.691087 | Top1 Val 6.250000 | Top1 Avg 5.918874
Epoch 0 | Batch 160/1063 | Loss 3.670942 | Top1 Val 6.250000 | Top1 Avg 6.172360
Epoch 0 | Batch 170/1063 | Loss 3.659556 | Top1 Val 12.500000 | Top1 Avg 6.250000
Epoch 0 | Batch 180/1063 | Loss 3.646865 | Top1 Val 0.000000 | Top1 Avg 6.319061
Epoch 0 | Batch 190/1063 | Loss 3.640888 | Top1 Val 12.500000 | Top1 Avg 6.315445
Epoch 0 | Batch 200/1063 | Loss 3.625635 | Top1 Val 12.500000 | Top1 Avg 6.560945
Epoch 0 | Batch 210/1063 | Loss 3.618378 | Top1 Val 0.000000 | Top1 Avg 6.546209
Epoch 0 | Batch 220/1063 | Loss 3.606747 | Top1 Val 6.250000 | Top1 Avg 6.561086
Epoch 0 | Batch 230/1063 | Loss 3.600973 | Top1 Val 18.750000 | Top1 Avg 6.493506
Epoch 0 | Batch 240/1063 | Loss 3.593086 | Top1 Val 6.250000 | Top1 Avg 6.561203
Epoch 0 | Batch 250/1063 | Loss 3.581706 | Top1 Val 0.000000 | Top1 Avg 6.598606
