/home/yunhui/anaconda2/lib/python2.7/site-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
/home/yunhui/anaconda2/lib/python2.7/site-packages/torchvision/transforms/transforms.py:188: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  "please use transforms.Resize instead.")
Files already downloaded and verified
Using downloaded and verified file: ./train_32x32.mat
Epoch 0 | Batch 0/1063 | Loss 5.467716 | Top1 Val 0.000000 | Top1 Avg 0.000000
Epoch 0 | Batch 10/1063 | Loss 4.750390 | Top1 Val 6.250000 | Top1 Avg 5.113636
Epoch 0 | Batch 20/1063 | Loss 4.354784 | Top1 Val 6.250000 | Top1 Avg 5.654762
Epoch 0 | Batch 30/1063 | Loss 4.124498 | Top1 Val 18.750000 | Top1 Avg 6.854839
Epoch 0 | Batch 40/1063 | Loss 4.021398 | Top1 Val 0.000000 | Top1 Avg 6.250000
Epoch 0 | Batch 50/1063 | Loss 3.942913 | Top1 Val 0.000000 | Top1 Avg 6.250000
Epoch 0 | Batch 60/1063 | Loss 3.885850 | Top1 Val 6.250000 | Top1 Avg 5.840164
Epoch 0 | Batch 70/1063 | Loss 3.833794 | Top1 Val 0.000000 | Top1 Avg 5.985915
Epoch 0 | Batch 80/1063 | Loss 3.784448 | Top1 Val 0.000000 | Top1 Avg 6.018519
Epoch 0 | Batch 90/1063 | Loss 3.751605 | Top1 Val 0.000000 | Top1 Avg 5.975275
Epoch 0 | Batch 100/1063 | Loss 3.721655 | Top1 Val 0.000000 | Top1 Avg 6.188119
Epoch 0 | Batch 110/1063 | Loss 3.700228 | Top1 Val 12.500000 | Top1 Avg 6.081081
Epoch 0 | Batch 120/1063 | Loss 3.675982 | Top1 Val 6.250000 | Top1 Avg 6.766529
Epoch 0 | Batch 130/1063 | Loss 3.643756 | Top1 Val 18.750000 | Top1 Avg 7.061069
Epoch 0 | Batch 140/1063 | Loss 3.630306 | Top1 Val 0.000000 | Top1 Avg 7.269504
