/home/yunhui/anaconda2/lib/python2.7/site-packages/torchvision/transforms/transforms.py:188: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  "please use transforms.Resize instead.")
Epoch 0 | Batch 0/263 | Loss 4.326976 | Top1 Val 6.250000 | Top1 Avg 6.250000
Epoch 0 | Batch 10/263 | Loss 3.697989 | Top1 Val 6.250000 | Top1 Avg 7.386364
Epoch 0 | Batch 20/263 | Loss 3.334704 | Top1 Val 18.750000 | Top1 Avg 16.666667
Epoch 0 | Batch 30/263 | Loss 3.028235 | Top1 Val 31.250000 | Top1 Avg 23.588710
Epoch 0 | Batch 40/263 | Loss 2.802882 | Top1 Val 43.750000 | Top1 Avg 30.487805
Epoch 0 | Batch 50/263 | Loss 2.620206 | Top1 Val 62.500000 | Top1 Avg 34.803922
Epoch 0 | Batch 60/263 | Loss 2.466791 | Top1 Val 56.250000 | Top1 Avg 39.446721
Epoch 0 | Batch 70/263 | Loss 2.345806 | Top1 Val 56.250000 | Top1 Avg 42.429577
Epoch 0 | Batch 80/263 | Loss 2.231322 | Top1 Val 62.500000 | Top1 Avg 45.061728
Epoch 0 | Batch 90/263 | Loss 2.132819 | Top1 Val 62.500000 | Top1 Avg 47.252747
Epoch 0 | Batch 100/263 | Loss 2.039721 | Top1 Val 56.250000 | Top1 Avg 49.752475
Epoch 0 | Batch 110/263 | Loss 1.958350 | Top1 Val 87.500000 | Top1 Avg 52.027027
Epoch 0 | Batch 120/263 | Loss 1.885106 | Top1 Val 81.250000 | Top1 Avg 53.977273
Epoch 0 | Batch 130/263 | Loss 1.808210 | Top1 Val 87.500000 | Top1 Avg 56.202290
Epoch 0 | Batch 140/263 | Loss 1.742037 | Top1 Val 87.500000 | Top1 Avg 58.067376
Epoch 0 | Batch 150/263 | Loss 1.695605 | Top1 Val 68.750000 | Top1 Avg 59.064570
Epoch 0 | Batch 160/263 | Loss 1.648397 | Top1 Val 62.500000 | Top1 Avg 60.170807
Epoch 0 | Batch 170/263 | Loss 1.595878 | Top1 Val 93.750000 | Top1 Avg 61.513158
Epoch 0 | Batch 180/263 | Loss 1.557525 | Top1 Val 81.250000 | Top1 Avg 62.603591
Epoch 0 | Batch 190/263 | Loss 1.514826 | Top1 Val 100.000000 | Top1 Avg 63.743455
Epoch 0 | Batch 200/263 | Loss 1.475625 | Top1 Val 87.500000 | Top1 Avg 64.552239
Epoch 0 | Batch 210/263 | Loss 1.438230 | Top1 Val 75.000000 | Top1 Avg 65.521327
Epoch 0 | Batch 220/263 | Loss 1.400956 | Top1 Val 81.250000 | Top1 Avg 66.402715
Epoch 0 | Batch 230/263 | Loss 1.366843 | Top1 Val 93.750000 | Top1 Avg 67.153680
Epoch 0 | Batch 240/263 | Loss 1.333150 | Top1 Val 87.500000 | Top1 Avg 67.946058
Epoch 0 | Batch 250/263 | Loss 1.304903 | Top1 Val 81.250000 | Top1 Avg 68.426295
Epoch 0 | Batch 260/263 | Loss 1.280969 | Top1 Val 75.000000 | Top1 Avg 68.869732
Epoch 1 | Batch 0/263 | Loss 0.428492 | Top1 Val 87.500000 | Top1 Avg 69.070209
Epoch 1 | Batch 10/263 | Loss 0.552523 | Top1 Val 93.750000 | Top1 Avg 69.538391
Epoch 1 | Batch 20/263 | Loss 0.533333 | Top1 Val 87.500000 | Top1 Avg 70.194004
Epoch 1 | Batch 30/263 | Loss 0.518609 | Top1 Val 87.500000 | Top1 Avg 70.762351
Epoch 1 | Batch 40/263 | Loss 0.514064 | Top1 Val 81.250000 | Top1 Avg 71.272652
Epoch 1 | Batch 50/263 | Loss 0.504050 | Top1 Val 62.500000 | Top1 Avg 71.870016
Epoch 1 | Batch 60/263 | Loss 0.489175 | Top1 Val 93.750000 | Top1 Avg 72.430448
Epoch 1 | Batch 70/263 | Loss 0.492364 | Top1 Val 87.500000 | Top1 Avg 72.769865
Epoch 1 | Batch 80/263 | Loss 0.484411 | Top1 Val 75.000000 | Top1 Avg 73.235080
Epoch 1 | Batch 90/263 | Loss 0.479008 | Top1 Val 93.750000 | Top1 Avg 73.603253
Epoch 1 | Batch 100/263 | Loss 0.472528 | Top1 Val 87.500000 | Top1 Avg 74.037139
Epoch 1 | Batch 110/263 | Loss 0.463553 | Top1 Val 93.750000 | Top1 Avg 74.497992
Epoch 1 | Batch 120/263 | Loss 0.462137 | Top1 Val 75.000000 | Top1 Avg 74.804433
Epoch 1 | Batch 130/263 | Loss 0.473353 | Top1 Val 93.750000 | Top1 Avg 74.952351
Epoch 1 | Batch 140/263 | Loss 0.472720 | Top1 Val 87.500000 | Top1 Avg 75.263321
Epoch 1 | Batch 150/263 | Loss 0.470077 | Top1 Val 87.500000 | Top1 Avg 75.589480
Epoch 1 | Batch 160/263 | Loss 0.469987 | Top1 Val 93.750000 | Top1 Avg 75.885478
Epoch 1 | Batch 170/263 | Loss 0.466190 | Top1 Val 87.500000 | Top1 Avg 76.138985
Epoch 1 | Batch 180/263 | Loss 0.464831 | Top1 Val 87.500000 | Top1 Avg 76.437430
Epoch 1 | Batch 190/263 | Loss 0.461817 | Top1 Val 75.000000 | Top1 Avg 76.667585
Epoch 1 | Batch 200/263 | Loss 0.459054 | Top1 Val 87.500000 | Top1 Avg 76.928263
Epoch 1 | Batch 210/263 | Loss 0.452046 | Top1 Val 81.250000 | Top1 Avg 77.217529
Epoch 1 | Batch 220/263 | Loss 0.449533 | Top1 Val 75.000000 | Top1 Avg 77.378490
Epoch 1 | Batch 230/263 | Loss 0.444138 | Top1 Val 87.500000 | Top1 Avg 77.646910
