/home/yunhui/anaconda2/lib/python2.7/site-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
/home/yunhui/anaconda2/lib/python2.7/site-packages/torchvision/transforms/transforms.py:188: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  "please use transforms.Resize instead.")
Epoch 0 | Batch 0/368 | Loss 7.532306 | Top1 Val 0.000000 | Top1 Avg 0.000000
Epoch 0 | Batch 10/368 | Loss 6.880693 | Top1 Val 6.250000 | Top1 Avg 1.136364
Epoch 0 | Batch 20/368 | Loss 6.407781 | Top1 Val 0.000000 | Top1 Avg 0.892857
Epoch 0 | Batch 30/368 | Loss 6.230322 | Top1 Val 6.250000 | Top1 Avg 1.209677
Epoch 0 | Batch 40/368 | Loss 5.991692 | Top1 Val 0.000000 | Top1 Avg 1.371951
Epoch 0 | Batch 50/368 | Loss 5.789263 | Top1 Val 0.000000 | Top1 Avg 1.348039
Epoch 0 | Batch 60/368 | Loss 5.640757 | Top1 Val 0.000000 | Top1 Avg 1.434426
Epoch 0 | Batch 70/368 | Loss 5.528539 | Top1 Val 0.000000 | Top1 Avg 1.408451
Epoch 0 | Batch 80/368 | Loss 5.445766 | Top1 Val 0.000000 | Top1 Avg 1.388889
Epoch 0 | Batch 90/368 | Loss 5.376298 | Top1 Val 0.000000 | Top1 Avg 1.236264
Epoch 0 | Batch 100/368 | Loss 5.310158 | Top1 Val 6.250000 | Top1 Avg 1.485149
Epoch 0 | Batch 110/368 | Loss 5.257611 | Top1 Val 0.000000 | Top1 Avg 1.407658
Epoch 0 | Batch 120/368 | Loss 5.213904 | Top1 Val 0.000000 | Top1 Avg 1.342975
Epoch 0 | Batch 130/368 | Loss 5.180875 | Top1 Val 0.000000 | Top1 Avg 1.240458
Epoch 0 | Batch 140/368 | Loss 5.154256 | Top1 Val 0.000000 | Top1 Avg 1.285461
Epoch 0 | Batch 150/368 | Loss 5.127236 | Top1 Val 0.000000 | Top1 Avg 1.241722
Epoch 0 | Batch 160/368 | Loss 5.097194 | Top1 Val 0.000000 | Top1 Avg 1.203416
Epoch 0 | Batch 170/368 | Loss 5.069011 | Top1 Val 0.000000 | Top1 Avg 1.242690
Epoch 0 | Batch 180/368 | Loss 5.046922 | Top1 Val 0.000000 | Top1 Avg 1.208564
Epoch 0 | Batch 190/368 | Loss 5.026464 | Top1 Val 0.000000 | Top1 Avg 1.210733
Epoch 0 | Batch 200/368 | Loss 5.008101 | Top1 Val 0.000000 | Top1 Avg 1.150498
Epoch 0 | Batch 210/368 | Loss 4.987017 | Top1 Val 0.000000 | Top1 Avg 1.184834
Epoch 0 | Batch 220/368 | Loss 4.975507 | Top1 Val 6.250000 | Top1 Avg 1.244344
Epoch 0 | Batch 230/368 | Loss 4.959146 | Top1 Val 6.250000 | Top1 Avg 1.298701
Epoch 0 | Batch 240/368 | Loss 4.944429 | Top1 Val 0.000000 | Top1 Avg 1.296680
Epoch 0 | Batch 250/368 | Loss 4.930330 | Top1 Val 0.000000 | Top1 Avg 1.294821
Epoch 0 | Batch 260/368 | Loss 4.920022 | Top1 Val 0.000000 | Top1 Avg 1.317050
Epoch 0 | Batch 270/368 | Loss 4.907881 | Top1 Val 0.000000 | Top1 Avg 1.360701
Epoch 0 | Batch 280/368 | Loss 4.898797 | Top1 Val 0.000000 | Top1 Avg 1.356762
Epoch 0 | Batch 290/368 | Loss 4.889111 | Top1 Val 0.000000 | Top1 Avg 1.353093
Epoch 0 | Batch 300/368 | Loss 4.878443 | Top1 Val 6.250000 | Top1 Avg 1.370432
Epoch 0 | Batch 310/368 | Loss 4.870408 | Top1 Val 12.500000 | Top1 Avg 1.467042
Epoch 0 | Batch 320/368 | Loss 4.862341 | Top1 Val 0.000000 | Top1 Avg 1.499221
Epoch 0 | Batch 330/368 | Loss 4.854603 | Top1 Val 6.250000 | Top1 Avg 1.548338
Epoch 0 | Batch 340/368 | Loss 4.844828 | Top1 Val 0.000000 | Top1 Avg 1.612903
Epoch 0 | Batch 350/368 | Loss 4.835063 | Top1 Val 6.250000 | Top1 Avg 1.655983
Epoch 0 | Batch 360/368 | Loss 4.828432 | Top1 Val 0.000000 | Top1 Avg 1.610111
Epoch 1 | Batch 0/368 | Loss 4.462129 | Top1 Val 0.000000 | Top1 Avg 1.643789
Epoch 1 | Batch 10/368 | Loss 4.525980 | Top1 Val 0.000000 | Top1 Avg 1.600396
Epoch 1 | Batch 20/368 | Loss 4.541756 | Top1 Val 0.000000 | Top1 Avg 1.655682
Epoch 1 | Batch 30/368 | Loss 4.552230 | Top1 Val 0.000000 | Top1 Avg 1.645510
Epoch 1 | Batch 40/368 | Loss 4.557491 | Top1 Val 0.000000 | Top1 Avg 1.620547
Epoch 1 | Batch 50/368 | Loss 4.549117 | Top1 Val 0.000000 | Top1 Avg 1.596777
Epoch 1 | Batch 60/368 | Loss 4.520715 | Top1 Val 0.000000 | Top1 Avg 1.617840
Epoch 1 | Batch 70/368 | Loss 4.519735 | Top1 Val 6.250000 | Top1 Avg 1.623700
Epoch 1 | Batch 80/368 | Loss 4.521816 | Top1 Val 0.000000 | Top1 Avg 1.643225
Epoch 1 | Batch 90/368 | Loss 4.532985 | Top1 Val 0.000000 | Top1 Avg 1.621033
Epoch 1 | Batch 100/368 | Loss 4.533277 | Top1 Val 0.000000 | Top1 Avg 1.613118
