Time: 20190325-123336, Setting: CUB-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 68.11% +- 0.64% 
Time: 20190326-003959, Setting: CUB-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 68.99% +- 0.68% 
Time: 20190326-140531, Setting: CUB-novel-Conv4-baseline++-aug 5shot 5way_test, Acc: 600 Test Acc = 78.74% +- 0.65% 
Time: 20190327-121251, Setting: CUB-novel_250-ResNet18-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 42.71% +- 0.68% 
Time: 20190327-142535, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 68.88% +- 0.69% 
Time: 20190327-143144, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 81.04% +- 0.55% 
Time: 20190327-145247, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 36.92% +- 0.65% 
Time: 20190327-160022, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 41.66% +- 0.68% 
Time: 20190327-175150, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 34.68% +- 0.61% 
Time: 20190328-040536, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-042049, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-042300, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-042659, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-043005, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 0.00% +- 0.00% 
Time: 20190328-043316, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 0.00% +- 0.00% 
Time: 20190328-141222, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 13.33% +- 0.00% 
Time: 20190328-141904, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 6.67% +- 0.00% 
Time: 20190328-142132, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 6.67% +- 0.00% 
Time: 20190328-142307, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 6.67% +- 0.00% 
Time: 20190328-142718, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 6.67% +- 0.00% 
Time: 20190328-142818, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 6.67% +- 0.00% 
Time: 20190328-142910, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 0.00% +- 0.00% 
Time: 20190328-143011, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 100.00% +- 0.00% 
Time: 20190328-143319, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-143639, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-144423, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-144613, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-144931, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-145306, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-145341, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-145827, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-150345, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-150637, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-150718, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-150801, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-150857, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-150947, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-151206, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-151428, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-151510, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-151553, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-151745, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-151813, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-151852, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-151943, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-152037, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-152118, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-171311, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-171344, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-171451, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-171551, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-171911, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-172506, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-172907, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-173218, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-173339, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-173655, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-174206, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-174431, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-174536, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 20.00% +- 0.00% 
Time: 20190328-204915, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 1 Test Acc = 65.33% +- 0.00% 
Time: 20190328-205747, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 65.74% +- 0.74% 
Time: 20190330-175001, Setting: CUB-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 83.03% +- 0.54% 
Time: 20190425-125500, Setting: svhn_to_cifar100-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 37.58% +- 0.67% 
Time: 20190426-003825, Setting: CUB_to_miniImageNet-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 55.54% +- 0.69% 
Time: 20190426-134535, Setting: cifar100_to_caltech256-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 66.74% +- 0.76% 
Time: 20190426-134823, Setting: caltech256_to_cifar100-novel-ResNet18-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 59.48% +- 0.79% 
Time: 20190426-173650, Setting: omniglot_to_emnist-novel-Conv4S-baseline 5shot 5way_test, Acc: 600 Test Acc = 83.01% +- 0.58% 
Time: 20190427-195728, Setting: omniglot_to_emnist-novel-Conv4S-baseline 5shot 5way_test, Acc: 600 Test Acc = 82.34% +- 0.62% 
Time: 20190429-125114, Setting: omniglot_to_emnist-novel-Conv4S-baseline 5shot 5way_test, Acc: 600 Test Acc = 82.63% +- 0.59% 
Time: 20190429-144035, Setting: omniglot_to_emnist-novel-Conv4S-baseline 5shot 5way_test, Acc: 600 Test Acc = 68.72% +- 0.75% 
Time: 20190429-154519, Setting: omniglot_to_emnist-novel-Conv4S-baseline 5shot 5way_test, Acc: 600 Test Acc = 67.98% +- 0.78% 
Time: 20190429-160136, Setting: omniglot_to_emnist-novel_4-Conv4S-baseline 5shot 5way_test, Acc: 600 Test Acc = 86.03% +- 0.60% 
Time: 20190710-153559, Setting: cifar100_to_cifar10-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 51.82% +- 0.59% 
Time: 20190710-154341, Setting: cifar100_to_cifar10-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 37.08% +- 0.57% 
Time: 20190710-163520, Setting: cifar100_to_cifar10-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 41.07% +- 0.56% 
Time: 20190710-164642, Setting: cifar100_to_cifar10-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 29.11% +- 0.50% 
Time: 20190710-165331, Setting: cifar100_to_cifar10-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 52.60% +- 0.63% 
Time: 20190710-170204, Setting: cifar100_to_cifar10-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 77.75% +- 0.55% 
Time: 20190710-171027, Setting: cifar100_to_cifar10-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 21.21% +- 0.26% 
Time: 20190710-171717, Setting: cifar100_to_cifar10-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 23.23% +- 0.40% 
Time: 20190712-132424, Setting: cifar100_to_cifar10-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 64.28% +- 0.69% 
Time: 20190712-152323, Setting: cifar100_to_cifar10-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 32.09% +- 0.53% 
Time: 20190712-153145, Setting: cifar100_to_cifar10-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 26.08% +- 0.45% 
Time: 20190716-132620, Setting: miniImageNet_to_CUB-novel-ResNet10-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 43.56% +- 0.60% 
Time: 20190716-175504, Setting: miniImageNet_to_CUB-novel-ResNet10-matchingnet-aug 5shot 5way_train 5way_test, Acc: 600 Test Acc = 36.74% +- 0.53% 
Time: 20190716-183815, Setting: miniImageNet_to_CUB-novel-ResNet10-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 75.69% +- 0.66% 
Time: 20190716-184240, Setting: miniImageNet_to_CUB-novel-ResNet10-matchingnet-aug 5shot 5way_train 5way_test, Acc: 600 Test Acc = 64.45% +- 0.63% 
Time: 20190717-005323, Setting: miniImageNet_to_CUB-novel-ResNet10-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 87.48% +- 0.58% 
Time: 20190717-005807, Setting: miniImageNet_to_CUB-novel-ResNet10-matchingnet-aug 5shot 5way_train 5way_test, Acc: 600 Test Acc = 66.39% +- 0.78% 
Time: 20190717-010442, Setting: miniImageNet_to_ISIC-novel-ResNet10-protonet-aug 5shot 5way_train 5way_test, Acc: 600 Test Acc = 39.57% +- 0.57% 
Time: 20190717-010705, Setting: miniImageNet_to_ISIC-novel-ResNet10-protonet-aug 5shot 5way_train 5way_test, Acc: 600 Test Acc = 39.29% +- 0.55% 
