/home/yunhui/anaconda2/lib/python2.7/site-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
/home/yunhui/anaconda2/lib/python2.7/site-packages/torchvision/transforms/transforms.py:188: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  "please use transforms.Resize instead.")
Epoch 0 | Batch 0/368 | Loss 5.381050 | Top1 Val 0.000000 | Top1 Avg 0.000000
Epoch 0 | Batch 10/368 | Loss 5.711549 | Top1 Val 0.000000 | Top1 Avg 0.000000
Epoch 0 | Batch 20/368 | Loss 5.442207 | Top1 Val 0.000000 | Top1 Avg 0.595238
Epoch 0 | Batch 30/368 | Loss 5.375917 | Top1 Val 6.250000 | Top1 Avg 1.008065
Epoch 0 | Batch 40/368 | Loss 5.316659 | Top1 Val 0.000000 | Top1 Avg 0.914634
Epoch 0 | Batch 50/368 | Loss 5.225910 | Top1 Val 0.000000 | Top1 Avg 0.857843
Epoch 0 | Batch 60/368 | Loss 5.169078 | Top1 Val 0.000000 | Top1 Avg 0.922131
Epoch 0 | Batch 70/368 | Loss 5.139140 | Top1 Val 0.000000 | Top1 Avg 0.880282
Epoch 0 | Batch 80/368 | Loss 5.097491 | Top1 Val 0.000000 | Top1 Avg 0.848765
Epoch 0 | Batch 90/368 | Loss 5.051435 | Top1 Val 0.000000 | Top1 Avg 1.098901
Epoch 0 | Batch 100/368 | Loss 5.028721 | Top1 Val 0.000000 | Top1 Avg 1.361386
Epoch 0 | Batch 110/368 | Loss 4.995011 | Top1 Val 0.000000 | Top1 Avg 1.407658
Epoch 0 | Batch 120/368 | Loss 4.977633 | Top1 Val 6.250000 | Top1 Avg 1.342975
Epoch 0 | Batch 130/368 | Loss 4.957197 | Top1 Val 0.000000 | Top1 Avg 1.335878
Epoch 0 | Batch 140/368 | Loss 4.939700 | Top1 Val 0.000000 | Top1 Avg 1.329787
Epoch 0 | Batch 150/368 | Loss 4.924248 | Top1 Val 0.000000 | Top1 Avg 1.490066
Epoch 0 | Batch 160/368 | Loss 4.909436 | Top1 Val 0.000000 | Top1 Avg 1.552795
Epoch 0 | Batch 170/368 | Loss 4.893226 | Top1 Val 0.000000 | Top1 Avg 1.535088
Epoch 0 | Batch 180/368 | Loss 4.878181 | Top1 Val 0.000000 | Top1 Avg 1.553867
Epoch 0 | Batch 190/368 | Loss 4.865304 | Top1 Val 6.250000 | Top1 Avg 1.636126
Epoch 0 | Batch 200/368 | Loss 4.852572 | Top1 Val 0.000000 | Top1 Avg 1.648010
Epoch 0 | Batch 210/368 | Loss 4.840685 | Top1 Val 0.000000 | Top1 Avg 1.629147
Epoch 0 | Batch 220/368 | Loss 4.829742 | Top1 Val 0.000000 | Top1 Avg 1.555430
Epoch 0 | Batch 230/368 | Loss 4.821178 | Top1 Val 0.000000 | Top1 Avg 1.623377
Epoch 0 | Batch 240/368 | Loss 4.812148 | Top1 Val 0.000000 | Top1 Avg 1.633817
Epoch 0 | Batch 250/368 | Loss 4.805035 | Top1 Val 0.000000 | Top1 Avg 1.643426
Epoch 0 | Batch 260/368 | Loss 4.799629 | Top1 Val 0.000000 | Top1 Avg 1.652299
Epoch 0 | Batch 270/368 | Loss 4.789123 | Top1 Val 0.000000 | Top1 Avg 1.637454
Epoch 0 | Batch 280/368 | Loss 4.782025 | Top1 Val 0.000000 | Top1 Avg 1.645907
Epoch 0 | Batch 290/368 | Loss 4.776345 | Top1 Val 0.000000 | Top1 Avg 1.610825
Epoch 0 | Batch 300/368 | Loss 4.775316 | Top1 Val 0.000000 | Top1 Avg 1.578073
Epoch 0 | Batch 310/368 | Loss 4.772041 | Top1 Val 0.000000 | Top1 Avg 1.607717
Epoch 0 | Batch 320/368 | Loss 4.769134 | Top1 Val 0.000000 | Top1 Avg 1.596573
Epoch 0 | Batch 330/368 | Loss 4.764575 | Top1 Val 6.250000 | Top1 Avg 1.623867
Epoch 0 | Batch 340/368 | Loss 4.759457 | Top1 Val 0.000000 | Top1 Avg 1.649560
Epoch 0 | Batch 350/368 | Loss 4.754816 | Top1 Val 6.250000 | Top1 Avg 1.638177
Epoch 0 | Batch 360/368 | Loss 4.750204 | Top1 Val 0.000000 | Top1 Avg 1.610111
Epoch 1 | Batch 0/368 | Loss 4.533984 | Top1 Val 6.250000 | Top1 Avg 1.643789
Epoch 1 | Batch 10/368 | Loss 4.530512 | Top1 Val 0.000000 | Top1 Avg 1.633394
Epoch 1 | Batch 20/368 | Loss 4.537205 | Top1 Val 0.000000 | Top1 Avg 1.623533
Epoch 1 | Batch 30/368 | Loss 4.539558 | Top1 Val 0.000000 | Top1 Avg 1.598496
Epoch 1 | Batch 40/368 | Loss 4.528298 | Top1 Val 0.000000 | Top1 Avg 1.620547
Epoch 1 | Batch 50/368 | Loss 4.542920 | Top1 Val 0.000000 | Top1 Avg 1.626623
Epoch 1 | Batch 60/368 | Loss 4.537433 | Top1 Val 0.000000 | Top1 Avg 1.603265
Epoch 1 | Batch 70/368 | Loss 4.527311 | Top1 Val 0.000000 | Top1 Avg 1.637943
Epoch 1 | Batch 80/368 | Loss 4.530447 | Top1 Val 0.000000 | Top1 Avg 1.657151
Epoch 1 | Batch 90/368 | Loss 4.531370 | Top1 Val 0.000000 | Top1 Avg 1.661899
Epoch 1 | Batch 100/368 | Loss 4.531067 | Top1 Val 0.000000 | Top1 Avg 1.639781
Epoch 1 | Batch 110/368 | Loss 4.528721 | Top1 Val 0.000000 | Top1 Avg 1.618588
Epoch 1 | Batch 120/368 | Loss 4.530922 | Top1 Val 0.000000 | Top1 Avg 1.623833
Epoch 1 | Batch 130/368 | Loss 4.538977 | Top1 Val 0.000000 | Top1 Avg 1.641398
Epoch 1 | Batch 140/368 | Loss 4.541864 | Top1 Val 0.000000 | Top1 Avg 1.621422
Epoch 1 | Batch 150/368 | Loss 4.541093 | Top1 Val 0.000000 | Top1 Avg 1.602217
Epoch 1 | Batch 160/368 | Loss 4.544028 | Top1 Val 0.000000 | Top1 Avg 1.619194
Epoch 1 | Batch 170/368 | Loss 4.544086 | Top1 Val 0.000000 | Top1 Avg 1.623942
Epoch 1 | Batch 180/368 | Loss 4.542056 | Top1 Val 6.250000 | Top1 Avg 1.628516
Epoch 1 | Batch 190/368 | Loss 4.536741 | Top1 Val 0.000000 | Top1 Avg 1.644111
Epoch 1 | Batch 200/368 | Loss 4.539444 | Top1 Val 6.250000 | Top1 Avg 1.637183
Epoch 1 | Batch 210/368 | Loss 4.537262 | Top1 Val 6.250000 | Top1 Avg 1.630493
Epoch 1 | Batch 220/368 | Loss 4.539693 | Top1 Val 0.000000 | Top1 Avg 1.624031
Epoch 1 | Batch 230/368 | Loss 4.535345 | Top1 Val 6.250000 | Top1 Avg 1.649097
Epoch 1 | Batch 240/368 | Loss 4.537836 | Top1 Val 6.250000 | Top1 Avg 1.632276
Epoch 1 | Batch 250/368 | Loss 4.534898 | Top1 Val 0.000000 | Top1 Avg 1.666498
Epoch 1 | Batch 260/368 | Loss 4.529233 | Top1 Val 0.000000 | Top1 Avg 1.659875
Epoch 1 | Batch 270/368 | Loss 4.530709 | Top1 Val 12.500000 | Top1 Avg 1.692594
Epoch 1 | Batch 280/368 | Loss 4.531794 | Top1 Val 6.250000 | Top1 Avg 1.733937
Epoch 1 | Batch 290/368 | Loss 4.531040 | Top1 Val 0.000000 | Top1 Avg 1.745565
Epoch 1 | Batch 300/368 | Loss 4.529110 | Top1 Val 0.000000 | Top1 Avg 1.747500
Epoch 1 | Batch 310/368 | Loss 4.528061 | Top1 Val 6.250000 | Top1 Avg 1.777000
Epoch 1 | Batch 320/368 | Loss 4.527671 | Top1 Val 0.000000 | Top1 Avg 1.751202
Epoch 1 | Batch 330/368 | Loss 4.524992 | Top1 Val 0.000000 | Top1 Avg 1.761918
Epoch 1 | Batch 340/368 | Loss 4.525369 | Top1 Val 6.250000 | Top1 Avg 1.772330
Epoch 1 | Batch 350/368 | Loss 4.526849 | Top1 Val 0.000000 | Top1 Avg 1.765064
Epoch 1 | Batch 360/368 | Loss 4.528173 | Top1 Val 0.000000 | Top1 Avg 1.757997
Epoch 2 | Batch 0/368 | Loss 4.107025 | Top1 Val 6.250000 | Top1 Avg 1.798744
Epoch 2 | Batch 10/368 | Loss 4.495818 | Top1 Val 0.000000 | Top1 Avg 1.808137
Epoch 2 | Batch 20/368 | Loss 4.475277 | Top1 Val 6.250000 | Top1 Avg 1.817281
Epoch 2 | Batch 30/368 | Loss 4.468536 | Top1 Val 6.250000 | Top1 Avg 1.842491
Epoch 2 | Batch 40/368 | Loss 4.466716 | Top1 Val 0.000000 | Top1 Avg 1.826815
Epoch 2 | Batch 50/368 | Loss 4.482353 | Top1 Val 0.000000 | Top1 Avg 1.835373
Epoch 2 | Batch 60/368 | Loss 4.488307 | Top1 Val 0.000000 | Top1 Avg 1.828024
Epoch 2 | Batch 70/368 | Loss 4.492814 | Top1 Val 0.000000 | Top1 Avg 1.828607
Epoch 2 | Batch 80/368 | Loss 4.483489 | Top1 Val 6.250000 | Top1 Avg 1.813868
Epoch 2 | Batch 90/368 | Loss 4.482634 | Top1 Val 0.000000 | Top1 Avg 1.807047
Epoch 2 | Batch 100/368 | Loss 4.484509 | Top1 Val 0.000000 | Top1 Avg 1.822800
Epoch 2 | Batch 110/368 | Loss 4.480430 | Top1 Val 0.000000 | Top1 Avg 1.838181
Epoch 2 | Batch 120/368 | Loss 4.482011 | Top1 Val 0.000000 | Top1 Avg 1.838611
Epoch 2 | Batch 130/368 | Loss 4.481813 | Top1 Val 6.250000 | Top1 Avg 1.860666
Epoch 2 | Batch 140/368 | Loss 4.475595 | Top1 Val 0.000000 | Top1 Avg 1.882219
Epoch 2 | Batch 150/368 | Loss 4.472889 | Top1 Val 0.000000 | Top1 Avg 1.896236
Epoch 2 | Batch 160/368 | Loss 4.468284 | Top1 Val 18.750000 | Top1 Avg 1.909940
Epoch 2 | Batch 170/368 | Loss 4.462976 | Top1 Val 6.250000 | Top1 Avg 1.944023
Epoch 2 | Batch 180/368 | Loss 4.462725 | Top1 Val 6.250000 | Top1 Avg 1.936452
Epoch 2 | Batch 190/368 | Loss 4.458839 | Top1 Val 0.000000 | Top1 Avg 1.942533
Epoch 2 | Batch 200/368 | Loss 4.453994 | Top1 Val 0.000000 | Top1 Avg 1.941812
