/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
Epoch 0 | Batch 0/353 | Loss 5.436055 | Top1 Val 0.000000 | Top1 Avg 0.000000
Epoch 0 | Batch 10/353 | Loss 4.991100 | Top1 Val 0.000000 | Top1 Avg 3.409091
Epoch 0 | Batch 20/353 | Loss 4.761870 | Top1 Val 0.000000 | Top1 Avg 3.571429
Epoch 0 | Batch 30/353 | Loss 4.585631 | Top1 Val 0.000000 | Top1 Avg 3.225806
Epoch 0 | Batch 40/353 | Loss 4.495333 | Top1 Val 6.250000 | Top1 Avg 3.048780
Epoch 0 | Batch 50/353 | Loss 4.420808 | Top1 Val 0.000000 | Top1 Avg 3.186275
Epoch 0 | Batch 60/353 | Loss 4.351357 | Top1 Val 0.000000 | Top1 Avg 3.176230
Epoch 0 | Batch 70/353 | Loss 4.314504 | Top1 Val 12.500000 | Top1 Avg 3.080986
Epoch 0 | Batch 80/353 | Loss 4.269380 | Top1 Val 0.000000 | Top1 Avg 2.854938
Epoch 0 | Batch 90/353 | Loss 4.235444 | Top1 Val 6.250000 | Top1 Avg 2.953297
Epoch 0 | Batch 100/353 | Loss 4.207543 | Top1 Val 0.000000 | Top1 Avg 2.846535
Epoch 0 | Batch 110/353 | Loss 4.184397 | Top1 Val 6.250000 | Top1 Avg 3.153153
Epoch 0 | Batch 120/353 | Loss 4.166493 | Top1 Val 0.000000 | Top1 Avg 3.254132
Epoch 0 | Batch 130/353 | Loss 4.159261 | Top1 Val 6.250000 | Top1 Avg 3.148855
Epoch 0 | Batch 140/353 | Loss 4.143323 | Top1 Val 0.000000 | Top1 Avg 3.102837
Epoch 0 | Batch 150/353 | Loss 4.128378 | Top1 Val 0.000000 | Top1 Avg 3.228477
Epoch 0 | Batch 160/353 | Loss 4.120928 | Top1 Val 6.250000 | Top1 Avg 3.260870
Epoch 0 | Batch 170/353 | Loss 4.107664 | Top1 Val 12.500000 | Top1 Avg 3.289474
Epoch 0 | Batch 180/353 | Loss 4.094684 | Top1 Val 12.500000 | Top1 Avg 3.314917
Epoch 0 | Batch 190/353 | Loss 4.085894 | Top1 Val 0.000000 | Top1 Avg 3.304974
Epoch 0 | Batch 200/353 | Loss 4.075727 | Top1 Val 6.250000 | Top1 Avg 3.420398
Epoch 0 | Batch 210/353 | Loss 4.069144 | Top1 Val 0.000000 | Top1 Avg 3.495261
Epoch 0 | Batch 220/353 | Loss 4.060235 | Top1 Val 12.500000 | Top1 Avg 3.535068
Epoch 0 | Batch 230/353 | Loss 4.054093 | Top1 Val 0.000000 | Top1 Avg 3.517316
Epoch 0 | Batch 240/353 | Loss 4.048571 | Top1 Val 0.000000 | Top1 Avg 3.475104
Epoch 0 | Batch 250/353 | Loss 4.040564 | Top1 Val 0.000000 | Top1 Avg 3.535857
Epoch 0 | Batch 260/353 | Loss 4.035301 | Top1 Val 0.000000 | Top1 Avg 3.496169
Epoch 0 | Batch 270/353 | Loss 4.028302 | Top1 Val 0.000000 | Top1 Avg 3.482472
Epoch 0 | Batch 280/353 | Loss 4.023404 | Top1 Val 6.250000 | Top1 Avg 3.514235
