/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
Epoch 0 | Batch 0/353 | Loss 5.746669 | Top1 Val 0.000000 | Top1 Avg 0.000000
Epoch 0 | Batch 10/353 | Loss 5.087367 | Top1 Val 0.000000 | Top1 Avg 2.840909
Epoch 0 | Batch 20/353 | Loss 4.756520 | Top1 Val 6.250000 | Top1 Avg 2.380952
Epoch 0 | Batch 30/353 | Loss 4.600357 | Top1 Val 0.000000 | Top1 Avg 2.419355
Epoch 0 | Batch 40/353 | Loss 4.453420 | Top1 Val 6.250000 | Top1 Avg 2.743902
Epoch 0 | Batch 50/353 | Loss 4.378420 | Top1 Val 0.000000 | Top1 Avg 2.573529
Epoch 0 | Batch 60/353 | Loss 4.298055 | Top1 Val 12.500000 | Top1 Avg 3.073770
Epoch 0 | Batch 70/353 | Loss 4.254291 | Top1 Val 6.250000 | Top1 Avg 3.521127
Epoch 0 | Batch 80/353 | Loss 4.215845 | Top1 Val 0.000000 | Top1 Avg 3.472222
Epoch 0 | Batch 90/353 | Loss 4.181300 | Top1 Val 6.250000 | Top1 Avg 3.708791
Epoch 0 | Batch 100/353 | Loss 4.155871 | Top1 Val 12.500000 | Top1 Avg 3.960396
Epoch 0 | Batch 110/353 | Loss 4.137753 | Top1 Val 6.250000 | Top1 Avg 3.941441
Epoch 0 | Batch 120/353 | Loss 4.127940 | Top1 Val 6.250000 | Top1 Avg 3.977273
Epoch 0 | Batch 130/353 | Loss 4.111367 | Top1 Val 6.250000 | Top1 Avg 3.864504
Epoch 0 | Batch 140/353 | Loss 4.092418 | Top1 Val 6.250000 | Top1 Avg 3.900709
Epoch 0 | Batch 150/353 | Loss 4.082770 | Top1 Val 6.250000 | Top1 Avg 3.973510
Epoch 0 | Batch 160/353 | Loss 4.072205 | Top1 Val 0.000000 | Top1 Avg 3.998447
Epoch 0 | Batch 170/353 | Loss 4.057534 | Top1 Val 6.250000 | Top1 Avg 3.874269
Epoch 0 | Batch 180/353 | Loss 4.046755 | Top1 Val 0.000000 | Top1 Avg 3.798343
Epoch 0 | Batch 190/353 | Loss 4.038756 | Top1 Val 6.250000 | Top1 Avg 3.795812
Epoch 0 | Batch 200/353 | Loss 4.028305 | Top1 Val 18.750000 | Top1 Avg 3.949005
Epoch 0 | Batch 210/353 | Loss 4.020258 | Top1 Val 0.000000 | Top1 Avg 3.850711
Epoch 0 | Batch 220/353 | Loss 4.011762 | Top1 Val 0.000000 | Top1 Avg 3.817873
Epoch 0 | Batch 230/353 | Loss 4.004218 | Top1 Val 0.000000 | Top1 Avg 3.760823
Epoch 0 | Batch 240/353 | Loss 3.991972 | Top1 Val 0.000000 | Top1 Avg 3.760373
Epoch 0 | Batch 250/353 | Loss 3.982289 | Top1 Val 0.000000 | Top1 Avg 3.784861
Epoch 0 | Batch 260/353 | Loss 3.975801 | Top1 Val 6.250000 | Top1 Avg 3.855364
Epoch 0 | Batch 270/353 | Loss 3.971611 | Top1 Val 6.250000 | Top1 Avg 3.874539
Epoch 0 | Batch 280/353 | Loss 3.971760 | Top1 Val 0.000000 | Top1 Avg 3.936833
Epoch 0 | Batch 290/353 | Loss 3.966211 | Top1 Val 6.250000 | Top1 Avg 3.930412
Epoch 0 | Batch 300/353 | Loss 3.960127 | Top1 Val 0.000000 | Top1 Avg 3.903654
Epoch 0 | Batch 310/353 | Loss 3.951363 | Top1 Val 0.000000 | Top1 Avg 3.918810
Epoch 0 | Batch 320/353 | Loss 3.943606 | Top1 Val 12.500000 | Top1 Avg 4.010903
Epoch 0 | Batch 330/353 | Loss 3.936123 | Top1 Val 31.250000 | Top1 Avg 4.135196
Epoch 0 | Batch 340/353 | Loss 3.928982 | Top1 Val 0.000000 | Top1 Avg 4.215543
Epoch 0 | Batch 350/353 | Loss 3.925049 | Top1 Val 0.000000 | Top1 Avg 4.255698
Epoch 1 | Batch 0/353 | Loss 3.723994 | Top1 Val 12.500000 | Top1 Avg 4.296322
Epoch 1 | Batch 10/353 | Loss 3.700680 | Top1 Val 12.500000 | Top1 Avg 4.453232
Epoch 1 | Batch 20/353 | Loss 3.657158 | Top1 Val 6.250000 | Top1 Avg 4.534806
Epoch 1 | Batch 30/353 | Loss 3.684649 | Top1 Val 0.000000 | Top1 Avg 4.579531
Epoch 1 | Batch 40/353 | Loss 3.704380 | Top1 Val 0.000000 | Top1 Avg 4.606099
Epoch 1 | Batch 50/353 | Loss 3.715467 | Top1 Val 6.250000 | Top1 Avg 4.584882
Epoch 1 | Batch 60/353 | Loss 3.725085 | Top1 Val 12.500000 | Top1 Avg 4.625151
Epoch 1 | Batch 70/353 | Loss 3.714468 | Top1 Val 12.500000 | Top1 Avg 4.722550
Epoch 1 | Batch 80/353 | Loss 3.722771 | Top1 Val 0.000000 | Top1 Avg 4.728950
Epoch 1 | Batch 90/353 | Loss 3.724680 | Top1 Val 6.250000 | Top1 Avg 4.749154
Epoch 1 | Batch 100/353 | Loss 3.723095 | Top1 Val 0.000000 | Top1 Avg 4.851158
Epoch 1 | Batch 110/353 | Loss 3.710985 | Top1 Val 12.500000 | Top1 Avg 4.962244
Epoch 1 | Batch 120/353 | Loss 3.708821 | Top1 Val 12.500000 | Top1 Avg 5.002640
Epoch 1 | Batch 130/353 | Loss 3.708545 | Top1 Val 12.500000 | Top1 Avg 5.028438
Epoch 1 | Batch 140/353 | Loss 3.705844 | Top1 Val 0.000000 | Top1 Avg 5.078521
Epoch 1 | Batch 150/353 | Loss 3.705691 | Top1 Val 12.500000 | Top1 Avg 5.064548
Epoch 1 | Batch 160/353 | Loss 3.702025 | Top1 Val 18.750000 | Top1 Avg 5.075463
Epoch 1 | Batch 170/353 | Loss 3.697891 | Top1 Val 6.250000 | Top1 Avg 5.050143
Epoch 1 | Batch 180/353 | Loss 3.699117 | Top1 Val 6.250000 | Top1 Avg 5.119494
Epoch 1 | Batch 190/353 | Loss 3.700455 | Top1 Val 0.000000 | Top1 Avg 5.128795
Epoch 1 | Batch 200/353 | Loss 3.698422 | Top1 Val 12.500000 | Top1 Avg 5.171635
Epoch 1 | Batch 210/353 | Loss 3.692752 | Top1 Val 6.250000 | Top1 Avg 5.279503
Epoch 1 | Batch 220/353 | Loss 3.692876 | Top1 Val 12.500000 | Top1 Avg 5.307323
Epoch 1 | Batch 230/353 | Loss 3.688843 | Top1 Val 6.250000 | Top1 Avg 5.355613
Epoch 1 | Batch 240/353 | Loss 3.687398 | Top1 Val 12.500000 | Top1 Avg 5.370682
Epoch 1 | Batch 250/353 | Loss 3.689418 | Top1 Val 12.500000 | Top1 Avg 5.405965
Epoch 1 | Batch 260/353 | Loss 3.689362 | Top1 Val 0.000000 | Top1 Avg 5.460473
Epoch 1 | Batch 270/353 | Loss 3.690212 | Top1 Val 0.000000 | Top1 Avg 5.453087
Epoch 1 | Batch 280/353 | Loss 3.687580 | Top1 Val 12.500000 | Top1 Avg 5.475533
Epoch 1 | Batch 290/353 | Loss 3.687533 | Top1 Val 12.500000 | Top1 Avg 5.506993
Epoch 1 | Batch 300/353 | Loss 3.688233 | Top1 Val 0.000000 | Top1 Avg 5.499235
Epoch 1 | Batch 310/353 | Loss 3.683843 | Top1 Val 6.250000 | Top1 Avg 5.567069
Epoch 1 | Batch 320/353 | Loss 3.684011 | Top1 Val 6.250000 | Top1 Avg 5.558649
Epoch 1 | Batch 330/353 | Loss 3.680828 | Top1 Val 12.500000 | Top1 Avg 5.651061
Epoch 1 | Batch 340/353 | Loss 3.678535 | Top1 Val 12.500000 | Top1 Avg 5.686734
Epoch 1 | Batch 350/353 | Loss 3.677361 | Top1 Val 6.250000 | Top1 Avg 5.730277
Epoch 2 | Batch 0/353 | Loss 3.758417 | Top1 Val 6.250000 | Top1 Avg 5.718839
Epoch 2 | Batch 10/353 | Loss 3.608852 | Top1 Val 6.250000 | Top1 Avg 5.761173
Epoch 2 | Batch 20/353 | Loss 3.615474 | Top1 Val 12.500000 | Top1 Avg 5.759298
Epoch 2 | Batch 30/353 | Loss 3.582135 | Top1 Val 6.250000 | Top1 Avg 5.782948
