/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
Epoch 0 | Batch 0/353 | Loss 5.575472 | Top1 Val 0.000000 | Top1 Avg 0.000000
Epoch 0 | Batch 10/353 | Loss 5.383074 | Top1 Val 6.250000 | Top1 Avg 2.272727
Epoch 0 | Batch 20/353 | Loss 4.905920 | Top1 Val 0.000000 | Top1 Avg 2.678571
Epoch 0 | Batch 30/353 | Loss 4.619199 | Top1 Val 12.500000 | Top1 Avg 3.225806
Epoch 0 | Batch 40/353 | Loss 4.467640 | Top1 Val 0.000000 | Top1 Avg 3.353659
Epoch 0 | Batch 50/353 | Loss 4.380880 | Top1 Val 0.000000 | Top1 Avg 3.063725
Epoch 0 | Batch 60/353 | Loss 4.322824 | Top1 Val 0.000000 | Top1 Avg 2.766393
Epoch 0 | Batch 70/353 | Loss 4.256823 | Top1 Val 0.000000 | Top1 Avg 3.169014
Epoch 0 | Batch 80/353 | Loss 4.238561 | Top1 Val 0.000000 | Top1 Avg 3.395062
Epoch 0 | Batch 90/353 | Loss 4.208153 | Top1 Val 6.250000 | Top1 Avg 3.502747
Epoch 0 | Batch 100/353 | Loss 4.184596 | Top1 Val 0.000000 | Top1 Avg 3.403465
Epoch 0 | Batch 110/353 | Loss 4.171812 | Top1 Val 0.000000 | Top1 Avg 3.153153
Epoch 0 | Batch 120/353 | Loss 4.155835 | Top1 Val 0.000000 | Top1 Avg 3.047521
Epoch 0 | Batch 130/353 | Loss 4.145019 | Top1 Val 6.250000 | Top1 Avg 3.148855
Epoch 0 | Batch 140/353 | Loss 4.132110 | Top1 Val 0.000000 | Top1 Avg 3.058511
Epoch 0 | Batch 150/353 | Loss 4.115630 | Top1 Val 0.000000 | Top1 Avg 2.980132
Epoch 0 | Batch 160/353 | Loss 4.108038 | Top1 Val 0.000000 | Top1 Avg 2.872671
Epoch 0 | Batch 170/353 | Loss 4.102012 | Top1 Val 6.250000 | Top1 Avg 2.923977
Epoch 0 | Batch 180/353 | Loss 4.089446 | Top1 Val 6.250000 | Top1 Avg 2.866022
Epoch 0 | Batch 190/353 | Loss 4.077241 | Top1 Val 12.500000 | Top1 Avg 3.010471
Epoch 0 | Batch 200/353 | Loss 4.075518 | Top1 Val 0.000000 | Top1 Avg 3.016169
Epoch 0 | Batch 210/353 | Loss 4.069209 | Top1 Val 6.250000 | Top1 Avg 3.021327
Epoch 0 | Batch 220/353 | Loss 4.061331 | Top1 Val 12.500000 | Top1 Avg 3.054299
Epoch 0 | Batch 230/353 | Loss 4.054735 | Top1 Val 0.000000 | Top1 Avg 3.111472
Epoch 0 | Batch 240/353 | Loss 4.048076 | Top1 Val 6.250000 | Top1 Avg 3.189834
Epoch 0 | Batch 250/353 | Loss 4.039650 | Top1 Val 12.500000 | Top1 Avg 3.261952
Epoch 0 | Batch 260/353 | Loss 4.034363 | Top1 Val 0.000000 | Top1 Avg 3.208812
Epoch 0 | Batch 270/353 | Loss 4.026774 | Top1 Val 0.000000 | Top1 Avg 3.251845
Epoch 0 | Batch 280/353 | Loss 4.019018 | Top1 Val 18.750000 | Top1 Avg 3.291815
Epoch 0 | Batch 290/353 | Loss 4.015871 | Top1 Val 0.000000 | Top1 Avg 3.307560
Epoch 0 | Batch 300/353 | Loss 4.009517 | Top1 Val 6.250000 | Top1 Avg 3.405316
Epoch 0 | Batch 310/353 | Loss 4.004669 | Top1 Val 0.000000 | Top1 Avg 3.476688
Epoch 0 | Batch 320/353 | Loss 3.998020 | Top1 Val 6.250000 | Top1 Avg 3.543614
Epoch 0 | Batch 330/353 | Loss 3.994594 | Top1 Val 6.250000 | Top1 Avg 3.493202
Epoch 0 | Batch 340/353 | Loss 3.991341 | Top1 Val 12.500000 | Top1 Avg 3.519062
Epoch 0 | Batch 350/353 | Loss 3.986197 | Top1 Val 0.000000 | Top1 Avg 3.525641
Epoch 1 | Batch 0/353 | Loss 3.793953 | Top1 Val 0.000000 | Top1 Avg 3.500707
Epoch 1 | Batch 10/353 | Loss 3.800322 | Top1 Val 0.000000 | Top1 Avg 3.645117
Epoch 1 | Batch 20/353 | Loss 3.790117 | Top1 Val 12.500000 | Top1 Avg 3.698126
Epoch 1 | Batch 30/353 | Loss 3.825060 | Top1 Val 0.000000 | Top1 Avg 3.699478
Epoch 1 | Batch 40/353 | Loss 3.818825 | Top1 Val 6.250000 | Top1 Avg 3.748412
Epoch 1 | Batch 50/353 | Loss 3.829879 | Top1 Val 0.000000 | Top1 Avg 3.748451
Epoch 1 | Batch 60/353 | Loss 3.833766 | Top1 Val 0.000000 | Top1 Avg 3.793833
Epoch 1 | Batch 70/353 | Loss 3.826813 | Top1 Val 0.000000 | Top1 Avg 3.837072
Epoch 1 | Batch 80/353 | Loss 3.826522 | Top1 Val 6.250000 | Top1 Avg 3.820646
Epoch 1 | Batch 90/353 | Loss 3.828066 | Top1 Val 6.250000 | Top1 Avg 3.790868
Epoch 1 | Batch 100/353 | Loss 3.813725 | Top1 Val 6.250000 | Top1 Avg 3.914002
Epoch 1 | Batch 110/353 | Loss 3.807753 | Top1 Val 6.250000 | Top1 Avg 3.964401
Epoch 1 | Batch 120/353 | Loss 3.808493 | Top1 Val 0.000000 | Top1 Avg 3.959873
Epoch 1 | Batch 130/353 | Loss 3.807032 | Top1 Val 6.250000 | Top1 Avg 3.916753
Epoch 1 | Batch 140/353 | Loss 3.806662 | Top1 Val 0.000000 | Top1 Avg 3.900709
Epoch 1 | Batch 150/353 | Loss 3.807507 | Top1 Val 6.250000 | Top1 Avg 3.910129
Epoch 1 | Batch 160/353 | Loss 3.804525 | Top1 Val 6.250000 | Top1 Avg 3.943525
Epoch 1 | Batch 170/353 | Loss 3.802403 | Top1 Val 6.250000 | Top1 Avg 3.939828
Epoch 1 | Batch 180/353 | Loss 3.795703 | Top1 Val 6.250000 | Top1 Avg 4.041706
Epoch 1 | Batch 190/353 | Loss 3.792793 | Top1 Val 0.000000 | Top1 Avg 4.116835
Epoch 1 | Batch 200/353 | Loss 3.790284 | Top1 Val 6.250000 | Top1 Avg 4.121500
Epoch 1 | Batch 210/353 | Loss 3.785807 | Top1 Val 6.250000 | Top1 Avg 4.114907
Epoch 1 | Batch 220/353 | Loss 3.778658 | Top1 Val 12.500000 | Top1 Avg 4.195728
