/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:188: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  "please use transforms.Resize instead.")
/home/yunhui/ibm2019/few_shot/methods/matchingnet.py:89: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  a = self.softmax(logit_a)
/home/yunhui/ibm2019/few_shot/methods/matchingnet.py:43: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  softmax = self.softmax(scores)
Epoch 0 | Batch 0/100 | Loss 1.344194
Epoch 0 | Batch 10/100 | Loss 1.779216
Epoch 0 | Batch 20/100 | Loss 1.636361
Epoch 0 | Batch 30/100 | Loss 1.607102
Epoch 0 | Batch 40/100 | Loss 1.586703
Epoch 0 | Batch 50/100 | Loss 1.551868
Epoch 0 | Batch 60/100 | Loss 1.522663
Epoch 0 | Batch 70/100 | Loss 1.512233
Epoch 0 | Batch 80/100 | Loss 1.500589
Epoch 0 | Batch 90/100 | Loss 1.488422
Epoch 1 | Batch 0/100 | Loss 1.296809
Epoch 1 | Batch 10/100 | Loss 1.402301
Epoch 1 | Batch 20/100 | Loss 1.403435
Epoch 1 | Batch 30/100 | Loss 1.400276
Epoch 1 | Batch 40/100 | Loss 1.394833
Epoch 1 | Batch 50/100 | Loss 1.404309
Epoch 1 | Batch 60/100 | Loss 1.391176
Epoch 1 | Batch 70/100 | Loss 1.387873
Epoch 1 | Batch 80/100 | Loss 1.394888
Epoch 1 | Batch 90/100 | Loss 1.389261
Epoch 2 | Batch 0/100 | Loss 1.362273
Epoch 2 | Batch 10/100 | Loss 1.440138
Epoch 2 | Batch 20/100 | Loss 1.383322
Epoch 2 | Batch 30/100 | Loss 1.386360
Epoch 2 | Batch 40/100 | Loss 1.387340
Epoch 2 | Batch 50/100 | Loss 1.381952
Epoch 2 | Batch 60/100 | Loss 1.369532
Epoch 2 | Batch 70/100 | Loss 1.363373
Epoch 2 | Batch 80/100 | Loss 1.364188
Epoch 2 | Batch 90/100 | Loss 1.365525
Epoch 3 | Batch 0/100 | Loss 1.452028
Epoch 3 | Batch 10/100 | Loss 1.449781
Epoch 3 | Batch 20/100 | Loss 1.397819
Epoch 3 | Batch 30/100 | Loss 1.394080
Epoch 3 | Batch 40/100 | Loss 1.393227
Epoch 3 | Batch 50/100 | Loss 1.481276
Epoch 3 | Batch 60/100 | Loss 1.580399
Epoch 3 | Batch 70/100 | Loss 1.649599
Epoch 3 | Batch 80/100 | Loss 1.715768
Epoch 3 | Batch 90/100 | Loss 1.774588
Epoch 4 | Batch 0/100 | Loss 2.214144
Epoch 4 | Batch 10/100 | Loss 2.146654
Epoch 4 | Batch 20/100 | Loss 2.132438
Epoch 4 | Batch 30/100 | Loss 2.161694
Epoch 4 | Batch 40/100 | Loss 2.152069
Epoch 4 | Batch 50/100 | Loss 2.137825
Epoch 4 | Batch 60/100 | Loss 2.125193
Epoch 4 | Batch 70/100 | Loss 2.141174
Epoch 4 | Batch 80/100 | Loss 2.118139
Epoch 4 | Batch 90/100 | Loss 2.116135
Epoch 5 | Batch 0/100 | Loss 2.018506
Epoch 5 | Batch 10/100 | Loss 2.087372
Epoch 5 | Batch 20/100 | Loss 2.208341
Epoch 5 | Batch 30/100 | Loss 2.193948
Epoch 5 | Batch 40/100 | Loss 2.213969
Epoch 5 | Batch 50/100 | Loss 2.211964
Epoch 5 | Batch 60/100 | Loss 2.198249
Epoch 5 | Batch 70/100 | Loss 2.182217
Epoch 5 | Batch 80/100 | Loss 2.173198
Epoch 5 | Batch 90/100 | Loss 2.171181
Epoch 6 | Batch 0/100 | Loss 2.243364
Epoch 6 | Batch 10/100 | Loss 2.215710
Epoch 6 | Batch 20/100 | Loss 2.170347
Epoch 6 | Batch 30/100 | Loss 2.125122
Epoch 6 | Batch 40/100 | Loss 2.128700
Epoch 6 | Batch 50/100 | Loss 2.133363
Epoch 6 | Batch 60/100 | Loss 2.118267
Epoch 6 | Batch 70/100 | Loss 2.135736
Epoch 6 | Batch 80/100 | Loss 2.132899
Epoch 6 | Batch 90/100 | Loss 2.126313
Epoch 7 | Batch 0/100 | Loss 2.649931
Epoch 7 | Batch 10/100 | Loss 2.280618
Epoch 7 | Batch 20/100 | Loss 2.237809
Epoch 7 | Batch 30/100 | Loss 2.240606
Epoch 7 | Batch 40/100 | Loss 2.273961
Epoch 7 | Batch 50/100 | Loss 2.251485
Epoch 7 | Batch 60/100 | Loss 2.233018
Epoch 7 | Batch 70/100 | Loss 2.252507
Epoch 7 | Batch 80/100 | Loss 2.230661
Epoch 7 | Batch 90/100 | Loss 2.227380
Epoch 8 | Batch 0/100 | Loss 1.858465
Epoch 8 | Batch 10/100 | Loss 2.166331
Epoch 8 | Batch 20/100 | Loss 2.156969
Epoch 8 | Batch 30/100 | Loss 2.140697
Epoch 8 | Batch 40/100 | Loss 2.132019
Epoch 8 | Batch 50/100 | Loss 2.151169
Epoch 8 | Batch 60/100 | Loss 2.179436
Epoch 8 | Batch 70/100 | Loss 2.157478
Epoch 8 | Batch 80/100 | Loss 2.147384
Epoch 8 | Batch 90/100 | Loss 2.148304
Epoch 9 | Batch 0/100 | Loss 2.058465
Epoch 9 | Batch 10/100 | Loss 1.991885
Epoch 9 | Batch 20/100 | Loss 2.047599
Epoch 9 | Batch 30/100 | Loss 2.026127
Epoch 9 | Batch 40/100 | Loss 2.061662
Epoch 9 | Batch 50/100 | Loss 2.077849
Epoch 9 | Batch 60/100 | Loss 2.073824
Epoch 9 | Batch 70/100 | Loss 2.075692
Epoch 9 | Batch 80/100 | Loss 2.086384
Epoch 9 | Batch 90/100 | Loss 2.083102
Epoch 10 | Batch 0/100 | Loss 1.963891
Epoch 10 | Batch 10/100 | Loss 2.096912
Epoch 10 | Batch 20/100 | Loss 2.091027
Epoch 10 | Batch 30/100 | Loss 2.105383
Epoch 10 | Batch 40/100 | Loss 2.105435
Epoch 10 | Batch 50/100 | Loss 2.079892
Epoch 10 | Batch 60/100 | Loss 2.085183
Epoch 10 | Batch 70/100 | Loss 2.089598
Epoch 10 | Batch 80/100 | Loss 2.094526
Epoch 10 | Batch 90/100 | Loss 2.126662
Epoch 11 | Batch 0/100 | Loss 2.428285
Epoch 11 | Batch 10/100 | Loss 2.235026
Epoch 11 | Batch 20/100 | Loss 2.131309
Epoch 11 | Batch 30/100 | Loss 2.099440
Epoch 11 | Batch 40/100 | Loss 2.081164
Epoch 11 | Batch 50/100 | Loss 2.090981
Epoch 11 | Batch 60/100 | Loss 2.100137
Epoch 11 | Batch 70/100 | Loss 2.120467
Epoch 11 | Batch 80/100 | Loss 2.108278
Epoch 11 | Batch 90/100 | Loss 2.084700
Epoch 12 | Batch 0/100 | Loss 1.788802
Epoch 12 | Batch 10/100 | Loss 2.032359
Epoch 12 | Batch 20/100 | Loss 2.036834
Epoch 12 | Batch 30/100 | Loss 2.029166
Epoch 12 | Batch 40/100 | Loss 2.047273
Epoch 12 | Batch 50/100 | Loss 2.078162
Epoch 12 | Batch 60/100 | Loss 2.069604
Epoch 12 | Batch 70/100 | Loss 2.078118
Epoch 12 | Batch 80/100 | Loss 2.085008
Epoch 12 | Batch 90/100 | Loss 2.081072
