/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:188: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  "please use transforms.Resize instead.")
Epoch 0 | Batch 0/100 | Loss 0.313871
Epoch 0 | Batch 10/100 | Loss 0.175701
Epoch 0 | Batch 20/100 | Loss 0.167965
Epoch 0 | Batch 30/100 | Loss 0.164450
Epoch 0 | Batch 40/100 | Loss 0.162217
Epoch 0 | Batch 50/100 | Loss 0.159965
Epoch 0 | Batch 60/100 | Loss 0.158847
Epoch 0 | Batch 70/100 | Loss 0.157340
Epoch 0 | Batch 80/100 | Loss 0.156459
Epoch 0 | Batch 90/100 | Loss 0.155350
Epoch 1 | Batch 0/100 | Loss 0.152781
Epoch 1 | Batch 10/100 | Loss 0.147723
Epoch 1 | Batch 20/100 | Loss 0.145438
Epoch 1 | Batch 30/100 | Loss 0.145781
Epoch 1 | Batch 40/100 | Loss 0.146192
Epoch 1 | Batch 50/100 | Loss 0.145637
Epoch 1 | Batch 60/100 | Loss 0.145183
Epoch 1 | Batch 70/100 | Loss 0.145301
Epoch 1 | Batch 80/100 | Loss 0.145358
Epoch 1 | Batch 90/100 | Loss 0.145176
Epoch 2 | Batch 0/100 | Loss 0.145583
Epoch 2 | Batch 10/100 | Loss 0.144902
Epoch 2 | Batch 20/100 | Loss 0.142817
Epoch 2 | Batch 30/100 | Loss 0.143320
Epoch 2 | Batch 40/100 | Loss 0.144221
Epoch 2 | Batch 50/100 | Loss 0.143845
Epoch 2 | Batch 60/100 | Loss 0.143586
Epoch 2 | Batch 70/100 | Loss 0.143655
Epoch 2 | Batch 80/100 | Loss 0.143555
Epoch 2 | Batch 90/100 | Loss 0.143064
Epoch 3 | Batch 0/100 | Loss 0.154196
Epoch 3 | Batch 10/100 | Loss 0.136434
Epoch 3 | Batch 20/100 | Loss 0.139064
Epoch 3 | Batch 30/100 | Loss 0.141005
Epoch 3 | Batch 40/100 | Loss 0.141064
Epoch 3 | Batch 50/100 | Loss 0.140980
Epoch 3 | Batch 60/100 | Loss 0.140342
Epoch 3 | Batch 70/100 | Loss 0.140226
Epoch 3 | Batch 80/100 | Loss 0.139676
Epoch 3 | Batch 90/100 | Loss 0.139921
Epoch 4 | Batch 0/100 | Loss 0.154925
Epoch 4 | Batch 10/100 | Loss 0.143565
Epoch 4 | Batch 20/100 | Loss 0.142335
Epoch 4 | Batch 30/100 | Loss 0.140577
Epoch 4 | Batch 40/100 | Loss 0.140373
Epoch 4 | Batch 50/100 | Loss 0.141144
Epoch 4 | Batch 60/100 | Loss 0.141387
Epoch 4 | Batch 70/100 | Loss 0.141707
Epoch 4 | Batch 80/100 | Loss 0.141500
Epoch 4 | Batch 90/100 | Loss 0.141103
Epoch 5 | Batch 0/100 | Loss 0.147341
Epoch 5 | Batch 10/100 | Loss 0.142129
Epoch 5 | Batch 20/100 | Loss 0.139684
Epoch 5 | Batch 30/100 | Loss 0.139728
Epoch 5 | Batch 40/100 | Loss 0.139873
Epoch 5 | Batch 50/100 | Loss 0.139099
Epoch 5 | Batch 60/100 | Loss 0.138466
Epoch 5 | Batch 70/100 | Loss 0.138306
Epoch 5 | Batch 80/100 | Loss 0.138423
Epoch 5 | Batch 90/100 | Loss 0.138388
Epoch 6 | Batch 0/100 | Loss 0.137322
Epoch 6 | Batch 10/100 | Loss 0.139875
Epoch 6 | Batch 20/100 | Loss 0.137741
Epoch 6 | Batch 30/100 | Loss 0.137730
Epoch 6 | Batch 40/100 | Loss 0.138680
Epoch 6 | Batch 50/100 | Loss 0.138602
Epoch 6 | Batch 60/100 | Loss 0.138905
Epoch 6 | Batch 70/100 | Loss 0.139320
Epoch 6 | Batch 80/100 | Loss 0.138269
Epoch 6 | Batch 90/100 | Loss 0.138160
Epoch 7 | Batch 0/100 | Loss 0.135630
Epoch 7 | Batch 10/100 | Loss 0.133296
Epoch 7 | Batch 20/100 | Loss 0.134447
Epoch 7 | Batch 30/100 | Loss 0.134777
Epoch 7 | Batch 40/100 | Loss 0.134560
Epoch 7 | Batch 50/100 | Loss 0.135698
Epoch 7 | Batch 60/100 | Loss 0.135927
Epoch 7 | Batch 70/100 | Loss 0.136274
Epoch 7 | Batch 80/100 | Loss 0.136398
