/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
Downloading http://www.vision.caltech.edu/Image_Datasets/Caltech256/256_ObjectCategories.tar to ./256_ObjectCategories.tar
Epoch 0 | Batch 0/618 | Loss 5.562208 | Top1 Val 6.250000 | Top1 Avg 6.250000
Epoch 0 | Batch 10/618 | Loss 5.340690 | Top1 Val 6.250000 | Top1 Avg 1.704545
Epoch 0 | Batch 20/618 | Loss 5.232177 | Top1 Val 0.000000 | Top1 Avg 2.083333
Epoch 0 | Batch 30/618 | Loss 5.054531 | Top1 Val 0.000000 | Top1 Avg 2.217742
Epoch 0 | Batch 40/618 | Loss 4.959473 | Top1 Val 6.250000 | Top1 Avg 2.439024
Epoch 0 | Batch 50/618 | Loss 4.849350 | Top1 Val 0.000000 | Top1 Avg 2.818627
Epoch 0 | Batch 60/618 | Loss 4.768362 | Top1 Val 12.500000 | Top1 Avg 2.868852
Epoch 0 | Batch 70/618 | Loss 4.709293 | Top1 Val 0.000000 | Top1 Avg 3.080986
Epoch 0 | Batch 80/618 | Loss 4.670792 | Top1 Val 0.000000 | Top1 Avg 3.240741
Epoch 0 | Batch 90/618 | Loss 4.641934 | Top1 Val 0.000000 | Top1 Avg 3.021978
Epoch 0 | Batch 100/618 | Loss 4.612583 | Top1 Val 0.000000 | Top1 Avg 3.217822
Epoch 0 | Batch 110/618 | Loss 4.590148 | Top1 Val 6.250000 | Top1 Avg 3.153153
Epoch 0 | Batch 120/618 | Loss 4.561450 | Top1 Val 6.250000 | Top1 Avg 3.202479
Epoch 0 | Batch 130/618 | Loss 4.535723 | Top1 Val 0.000000 | Top1 Avg 3.244275
Epoch 0 | Batch 140/618 | Loss 4.522946 | Top1 Val 0.000000 | Top1 Avg 3.368794
Epoch 0 | Batch 150/618 | Loss 4.505225 | Top1 Val 0.000000 | Top1 Avg 3.394040
Epoch 0 | Batch 160/618 | Loss 4.487811 | Top1 Val 6.250000 | Top1 Avg 3.454969
Epoch 0 | Batch 170/618 | Loss 4.475868 | Top1 Val 12.500000 | Top1 Avg 3.618421
Epoch 0 | Batch 180/618 | Loss 4.461996 | Top1 Val 6.250000 | Top1 Avg 3.660221
Epoch 0 | Batch 190/618 | Loss 4.447911 | Top1 Val 0.000000 | Top1 Avg 3.763089
Epoch 0 | Batch 200/618 | Loss 4.437320 | Top1 Val 6.250000 | Top1 Avg 3.855721
Epoch 0 | Batch 210/618 | Loss 4.429725 | Top1 Val 18.750000 | Top1 Avg 3.998815
Epoch 0 | Batch 220/618 | Loss 4.419917 | Top1 Val 6.250000 | Top1 Avg 4.128959
Epoch 0 | Batch 230/618 | Loss 4.413620 | Top1 Val 0.000000 | Top1 Avg 4.139610
Epoch 0 | Batch 240/618 | Loss 4.410518 | Top1 Val 12.500000 | Top1 Avg 4.149378
Epoch 0 | Batch 250/618 | Loss 4.403013 | Top1 Val 12.500000 | Top1 Avg 4.183267
Epoch 0 | Batch 260/618 | Loss 4.395228 | Top1 Val 6.250000 | Top1 Avg 4.166667
Epoch 0 | Batch 270/618 | Loss 4.385621 | Top1 Val 25.000000 | Top1 Avg 4.381919
Epoch 0 | Batch 280/618 | Loss 4.371122 | Top1 Val 12.500000 | Top1 Avg 4.648577
Epoch 0 | Batch 290/618 | Loss 4.363196 | Top1 Val 12.500000 | Top1 Avg 4.725086
Epoch 0 | Batch 300/618 | Loss 4.360396 | Top1 Val 12.500000 | Top1 Avg 4.713455
Epoch 0 | Batch 310/618 | Loss 4.354609 | Top1 Val 6.250000 | Top1 Avg 4.762862
Epoch 0 | Batch 320/618 | Loss 4.353029 | Top1 Val 12.500000 | Top1 Avg 4.731308
Epoch 0 | Batch 330/618 | Loss 4.348338 | Top1 Val 6.250000 | Top1 Avg 4.663897
Epoch 0 | Batch 340/618 | Loss 4.343315 | Top1 Val 6.250000 | Top1 Avg 4.637097
Epoch 0 | Batch 350/618 | Loss 4.337533 | Top1 Val 12.500000 | Top1 Avg 4.736467
Epoch 0 | Batch 360/618 | Loss 4.335038 | Top1 Val 0.000000 | Top1 Avg 4.795706
Epoch 0 | Batch 370/618 | Loss 4.331249 | Top1 Val 6.250000 | Top1 Avg 4.784367
Epoch 0 | Batch 380/618 | Loss 4.327079 | Top1 Val 0.000000 | Top1 Avg 4.822835
Epoch 0 | Batch 390/618 | Loss 4.325168 | Top1 Val 6.250000 | Top1 Avg 4.763427
Epoch 0 | Batch 400/618 | Loss 4.321311 | Top1 Val 0.000000 | Top1 Avg 4.722569
Epoch 0 | Batch 410/618 | Loss 4.318089 | Top1 Val 12.500000 | Top1 Avg 4.744526
Epoch 0 | Batch 420/618 | Loss 4.313992 | Top1 Val 6.250000 | Top1 Avg 4.765439
Epoch 0 | Batch 430/618 | Loss 4.308875 | Top1 Val 12.500000 | Top1 Avg 4.799884
Epoch 0 | Batch 440/618 | Loss 4.302080 | Top1 Val 6.250000 | Top1 Avg 4.846939
Epoch 0 | Batch 450/618 | Loss 4.301929 | Top1 Val 6.250000 | Top1 Avg 4.891907
Epoch 0 | Batch 460/618 | Loss 4.297709 | Top1 Val 0.000000 | Top1 Avg 4.948482
Epoch 0 | Batch 470/618 | Loss 4.291765 | Top1 Val 6.250000 | Top1 Avg 5.082272
Epoch 0 | Batch 480/618 | Loss 4.289150 | Top1 Val 12.500000 | Top1 Avg 5.106549
Epoch 0 | Batch 490/618 | Loss 4.284974 | Top1 Val 0.000000 | Top1 Avg 5.180754
Epoch 0 | Batch 500/618 | Loss 4.281246 | Top1 Val 6.250000 | Top1 Avg 5.202096
Epoch 0 | Batch 510/618 | Loss 4.279270 | Top1 Val 0.000000 | Top1 Avg 5.247065
Epoch 0 | Batch 520/618 | Loss 4.272592 | Top1 Val 6.250000 | Top1 Avg 5.374280
Epoch 0 | Batch 530/618 | Loss 4.267403 | Top1 Val 6.250000 | Top1 Avg 5.437853
Epoch 0 | Batch 540/618 | Loss 4.262081 | Top1 Val 18.750000 | Top1 Avg 5.545287
Epoch 0 | Batch 550/618 | Loss 4.260295 | Top1 Val 6.250000 | Top1 Avg 5.580762
