/home/yunhui/anaconda2/lib/python2.7/site-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
/home/yunhui/anaconda2/lib/python2.7/site-packages/torchvision/transforms/transforms.py:188: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  "please use transforms.Resize instead.")
Using downloaded and verified file: ./256_ObjectCategories.tar
Files already downloaded and verified
Epoch 0 | Batch 0/618 | Loss 5.693713 | Top1 Val 0.000000 | Top1 Avg 0.000000
Epoch 0 | Batch 10/618 | Loss 5.459235 | Top1 Val 0.000000 | Top1 Avg 2.840909
Epoch 0 | Batch 20/618 | Loss 5.335963 | Top1 Val 6.250000 | Top1 Avg 2.678571
Epoch 0 | Batch 30/618 | Loss 5.253713 | Top1 Val 0.000000 | Top1 Avg 2.016129
Epoch 0 | Batch 40/618 | Loss 5.131907 | Top1 Val 6.250000 | Top1 Avg 2.134146
Epoch 0 | Batch 50/618 | Loss 5.021336 | Top1 Val 0.000000 | Top1 Avg 2.328431
Epoch 0 | Batch 60/618 | Loss 4.930402 | Top1 Val 6.250000 | Top1 Avg 2.561475
Epoch 0 | Batch 70/618 | Loss 4.856253 | Top1 Val 0.000000 | Top1 Avg 2.728873
Epoch 0 | Batch 80/618 | Loss 4.800925 | Top1 Val 0.000000 | Top1 Avg 2.623457
Epoch 0 | Batch 90/618 | Loss 4.750638 | Top1 Val 0.000000 | Top1 Avg 2.609890
Epoch 0 | Batch 100/618 | Loss 4.730606 | Top1 Val 0.000000 | Top1 Avg 2.846535
Epoch 0 | Batch 110/618 | Loss 4.708912 | Top1 Val 0.000000 | Top1 Avg 2.871622
Epoch 0 | Batch 120/618 | Loss 4.678326 | Top1 Val 0.000000 | Top1 Avg 3.150826
Epoch 0 | Batch 130/618 | Loss 4.660064 | Top1 Val 6.250000 | Top1 Avg 3.053435
Epoch 0 | Batch 140/618 | Loss 4.648830 | Top1 Val 12.500000 | Top1 Avg 3.058511
Epoch 0 | Batch 150/618 | Loss 4.635217 | Top1 Val 0.000000 | Top1 Avg 3.228477
Epoch 0 | Batch 160/618 | Loss 4.618697 | Top1 Val 0.000000 | Top1 Avg 3.377329
Epoch 0 | Batch 170/618 | Loss 4.603592 | Top1 Val 12.500000 | Top1 Avg 3.472222
Epoch 0 | Batch 180/618 | Loss 4.584284 | Top1 Val 0.000000 | Top1 Avg 3.763812
Epoch 0 | Batch 190/618 | Loss 4.573486 | Top1 Val 0.000000 | Top1 Avg 3.664921
Epoch 0 | Batch 200/618 | Loss 4.560083 | Top1 Val 0.000000 | Top1 Avg 3.700249
Epoch 0 | Batch 210/618 | Loss 4.553244 | Top1 Val 6.250000 | Top1 Avg 3.761848
Epoch 0 | Batch 220/618 | Loss 4.543488 | Top1 Val 6.250000 | Top1 Avg 3.761312
Epoch 0 | Batch 230/618 | Loss 4.536874 | Top1 Val 6.250000 | Top1 Avg 3.787879
Epoch 0 | Batch 240/618 | Loss 4.527432 | Top1 Val 0.000000 | Top1 Avg 3.838174
Epoch 0 | Batch 250/618 | Loss 4.524844 | Top1 Val 12.500000 | Top1 Avg 3.809761
Epoch 0 | Batch 260/618 | Loss 4.518494 | Top1 Val 0.000000 | Top1 Avg 3.759579
Epoch 0 | Batch 270/618 | Loss 4.512107 | Top1 Val 6.250000 | Top1 Avg 3.736162
Epoch 0 | Batch 280/618 | Loss 4.505348 | Top1 Val 12.500000 | Top1 Avg 3.714413
Epoch 0 | Batch 290/618 | Loss 4.499763 | Top1 Val 12.500000 | Top1 Avg 3.844502
Epoch 0 | Batch 300/618 | Loss 4.491143 | Top1 Val 6.250000 | Top1 Avg 3.965947
Epoch 0 | Batch 310/618 | Loss 4.484328 | Top1 Val 6.250000 | Top1 Avg 4.039389
Epoch 0 | Batch 320/618 | Loss 4.475909 | Top1 Val 6.250000 | Top1 Avg 4.108255
Epoch 0 | Batch 330/618 | Loss 4.470224 | Top1 Val 0.000000 | Top1 Avg 4.078550
Epoch 0 | Batch 340/618 | Loss 4.464333 | Top1 Val 6.250000 | Top1 Avg 4.142229
Epoch 0 | Batch 350/618 | Loss 4.459151 | Top1 Val 0.000000 | Top1 Avg 4.273504
Epoch 0 | Batch 360/618 | Loss 4.453716 | Top1 Val 6.250000 | Top1 Avg 4.414820
Epoch 0 | Batch 370/618 | Loss 4.447546 | Top1 Val 0.000000 | Top1 Avg 4.396900
Epoch 0 | Batch 380/618 | Loss 4.442471 | Top1 Val 0.000000 | Top1 Avg 4.412730
Epoch 0 | Batch 390/618 | Loss 4.437377 | Top1 Val 6.250000 | Top1 Avg 4.539642
Epoch 0 | Batch 400/618 | Loss 4.430720 | Top1 Val 12.500000 | Top1 Avg 4.566708
