/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
Files already downloaded and verified
Epoch 0 | Batch 0/1063 | Loss 4.787470 | Top1 Val 0.000000 | Top1 Avg 0.000000
Epoch 0 | Batch 10/1063 | Loss 4.531666 | Top1 Val 0.000000 | Top1 Avg 5.113636
Epoch 0 | Batch 20/1063 | Loss 4.211599 | Top1 Val 12.500000 | Top1 Avg 4.166667
Epoch 0 | Batch 30/1063 | Loss 4.055830 | Top1 Val 12.500000 | Top1 Avg 6.048387
Epoch 0 | Batch 40/1063 | Loss 3.953904 | Top1 Val 6.250000 | Top1 Avg 6.707317
Epoch 0 | Batch 50/1063 | Loss 3.876054 | Top1 Val 6.250000 | Top1 Avg 7.230392
Epoch 0 | Batch 60/1063 | Loss 3.793329 | Top1 Val 6.250000 | Top1 Avg 8.299180
Epoch 0 | Batch 70/1063 | Loss 3.745151 | Top1 Val 25.000000 | Top1 Avg 8.890845
Epoch 0 | Batch 80/1063 | Loss 3.683543 | Top1 Val 12.500000 | Top1 Avg 9.259259
Epoch 0 | Batch 90/1063 | Loss 3.651270 | Top1 Val 12.500000 | Top1 Avg 9.478022
Epoch 0 | Batch 100/1063 | Loss 3.626156 | Top1 Val 0.000000 | Top1 Avg 9.467822
Epoch 0 | Batch 110/1063 | Loss 3.618533 | Top1 Val 12.500000 | Top1 Avg 9.572072
Epoch 0 | Batch 120/1063 | Loss 3.598344 | Top1 Val 12.500000 | Top1 Avg 9.297521
Epoch 0 | Batch 130/1063 | Loss 3.565048 | Top1 Val 6.250000 | Top1 Avg 9.732824
Epoch 0 | Batch 140/1063 | Loss 3.557811 | Top1 Val 0.000000 | Top1 Avg 9.796099
Epoch 0 | Batch 150/1063 | Loss 3.547294 | Top1 Val 6.250000 | Top1 Avg 9.602649
Epoch 0 | Batch 160/1063 | Loss 3.533235 | Top1 Val 18.750000 | Top1 Avg 9.899068
Epoch 0 | Batch 170/1063 | Loss 3.526802 | Top1 Val 12.500000 | Top1 Avg 9.904971
Epoch 0 | Batch 180/1063 | Loss 3.509280 | Top1 Val 12.500000 | Top1 Avg 10.013812
Epoch 0 | Batch 190/1063 | Loss 3.506577 | Top1 Val 12.500000 | Top1 Avg 10.111257
Epoch 0 | Batch 200/1063 | Loss 3.494630 | Top1 Val 12.500000 | Top1 Avg 10.136816
Epoch 0 | Batch 210/1063 | Loss 3.480210 | Top1 Val 31.250000 | Top1 Avg 10.396919
Epoch 0 | Batch 220/1063 | Loss 3.474522 | Top1 Val 6.250000 | Top1 Avg 10.378959
Epoch 0 | Batch 230/1063 | Loss 3.465155 | Top1 Val 12.500000 | Top1 Avg 10.443723
Epoch 0 | Batch 240/1063 | Loss 3.452228 | Top1 Val 12.500000 | Top1 Avg 10.632780
Epoch 0 | Batch 250/1063 | Loss 3.439335 | Top1 Val 31.250000 | Top1 Avg 10.806773
Epoch 0 | Batch 260/1063 | Loss 3.428993 | Top1 Val 6.250000 | Top1 Avg 10.967433
Epoch 0 | Batch 270/1063 | Loss 3.421142 | Top1 Val 6.250000 | Top1 Avg 11.116236
Epoch 0 | Batch 280/1063 | Loss 3.416330 | Top1 Val 6.250000 | Top1 Avg 11.209964
Epoch 0 | Batch 290/1063 | Loss 3.402319 | Top1 Val 6.250000 | Top1 Avg 11.211340
Epoch 0 | Batch 300/1063 | Loss 3.395620 | Top1 Val 6.250000 | Top1 Avg 11.482558
Epoch 0 | Batch 310/1063 | Loss 3.387621 | Top1 Val 12.500000 | Top1 Avg 11.495177
Epoch 0 | Batch 320/1063 | Loss 3.378077 | Top1 Val 12.500000 | Top1 Avg 11.623832
Epoch 0 | Batch 330/1063 | Loss 3.377109 | Top1 Val 6.250000 | Top1 Avg 11.574773
Epoch 0 | Batch 340/1063 | Loss 3.367757 | Top1 Val 12.500000 | Top1 Avg 11.730205
Epoch 0 | Batch 350/1063 | Loss 3.361199 | Top1 Val 12.500000 | Top1 Avg 11.930199
Epoch 0 | Batch 360/1063 | Loss 3.351423 | Top1 Val 25.000000 | Top1 Avg 12.136427
Epoch 0 | Batch 370/1063 | Loss 3.344385 | Top1 Val 18.750000 | Top1 Avg 12.179919
Epoch 0 | Batch 380/1063 | Loss 3.340175 | Top1 Val 25.000000 | Top1 Avg 12.368766
Epoch 0 | Batch 390/1063 | Loss 3.335436 | Top1 Val 25.000000 | Top1 Avg 12.452046
Epoch 0 | Batch 400/1063 | Loss 3.333021 | Top1 Val 12.500000 | Top1 Avg 12.468828
Epoch 0 | Batch 410/1063 | Loss 3.330638 | Top1 Val 25.000000 | Top1 Avg 12.500000
Epoch 0 | Batch 420/1063 | Loss 3.325224 | Top1 Val 12.500000 | Top1 Avg 12.603919
Epoch 0 | Batch 430/1063 | Loss 3.319458 | Top1 Val 25.000000 | Top1 Avg 12.674014
Epoch 0 | Batch 440/1063 | Loss 3.313875 | Top1 Val 25.000000 | Top1 Avg 12.825964
Epoch 0 | Batch 450/1063 | Loss 3.310826 | Top1 Val 12.500000 | Top1 Avg 12.901885
Epoch 0 | Batch 460/1063 | Loss 3.304077 | Top1 Val 25.000000 | Top1 Avg 13.001627
Epoch 0 | Batch 470/1063 | Loss 3.297960 | Top1 Val 18.750000 | Top1 Avg 13.097134
Epoch 0 | Batch 480/1063 | Loss 3.296276 | Top1 Val 12.500000 | Top1 Avg 13.123701
Epoch 0 | Batch 490/1063 | Loss 3.289944 | Top1 Val 0.000000 | Top1 Avg 13.161914
Epoch 0 | Batch 500/1063 | Loss 3.283738 | Top1 Val 12.500000 | Top1 Avg 13.223553
Epoch 0 | Batch 510/1063 | Loss 3.283814 | Top1 Val 18.750000 | Top1 Avg 13.295010
Epoch 0 | Batch 520/1063 | Loss 3.283334 | Top1 Val 18.750000 | Top1 Avg 13.267754
Epoch 0 | Batch 530/1063 | Loss 3.281001 | Top1 Val 18.750000 | Top1 Avg 13.312147
Epoch 0 | Batch 540/1063 | Loss 3.277111 | Top1 Val 18.750000 | Top1 Avg 13.297135
Epoch 0 | Batch 550/1063 | Loss 3.272386 | Top1 Val 6.250000 | Top1 Avg 13.373412
Epoch 0 | Batch 560/1063 | Loss 3.269603 | Top1 Val 12.500000 | Top1 Avg 13.458111
Epoch 0 | Batch 570/1063 | Loss 3.266152 | Top1 Val 25.000000 | Top1 Avg 13.550788
Epoch 0 | Batch 580/1063 | Loss 3.262096 | Top1 Val 6.250000 | Top1 Avg 13.575731
Epoch 0 | Batch 590/1063 | Loss 3.258348 | Top1 Val 18.750000 | Top1 Avg 13.684433
Epoch 0 | Batch 600/1063 | Loss 3.256974 | Top1 Val 6.250000 | Top1 Avg 13.675125
Epoch 0 | Batch 610/1063 | Loss 3.251547 | Top1 Val 18.750000 | Top1 Avg 13.829787
Epoch 0 | Batch 620/1063 | Loss 3.247730 | Top1 Val 31.250000 | Top1 Avg 13.868760
Epoch 0 | Batch 630/1063 | Loss 3.243581 | Top1 Val 31.250000 | Top1 Avg 13.956022
Epoch 0 | Batch 640/1063 | Loss 3.240541 | Top1 Val 6.250000 | Top1 Avg 14.021061
Epoch 0 | Batch 650/1063 | Loss 3.236446 | Top1 Val 18.750000 | Top1 Avg 14.103303
Epoch 0 | Batch 660/1063 | Loss 3.233261 | Top1 Val 12.500000 | Top1 Avg 14.116868
Epoch 0 | Batch 670/1063 | Loss 3.233211 | Top1 Val 25.000000 | Top1 Avg 14.120715
Epoch 0 | Batch 680/1063 | Loss 3.229873 | Top1 Val 6.250000 | Top1 Avg 14.151982
Epoch 0 | Batch 690/1063 | Loss 3.226390 | Top1 Val 12.500000 | Top1 Avg 14.272793
Epoch 0 | Batch 700/1063 | Loss 3.223486 | Top1 Val 31.250000 | Top1 Avg 14.336662
Epoch 0 | Batch 710/1063 | Loss 3.220627 | Top1 Val 12.500000 | Top1 Avg 14.381153
Epoch 0 | Batch 720/1063 | Loss 3.218186 | Top1 Val 25.000000 | Top1 Avg 14.441748
Epoch 0 | Batch 730/1063 | Loss 3.214128 | Top1 Val 18.750000 | Top1 Avg 14.551984
Epoch 0 | Batch 740/1063 | Loss 3.211040 | Top1 Val 31.250000 | Top1 Avg 14.642375
Epoch 0 | Batch 750/1063 | Loss 3.207486 | Top1 Val 25.000000 | Top1 Avg 14.730360
Epoch 0 | Batch 760/1063 | Loss 3.205637 | Top1 Val 6.250000 | Top1 Avg 14.766754
Epoch 0 | Batch 770/1063 | Loss 3.201446 | Top1 Val 6.250000 | Top1 Avg 14.842737
Epoch 0 | Batch 780/1063 | Loss 3.197643 | Top1 Val 12.500000 | Top1 Avg 14.876761
Epoch 0 | Batch 790/1063 | Loss 3.195837 | Top1 Val 31.250000 | Top1 Avg 14.909924
Epoch 0 | Batch 800/1063 | Loss 3.192928 | Top1 Val 18.750000 | Top1 Avg 14.965668
Epoch 0 | Batch 810/1063 | Loss 3.189408 | Top1 Val 43.750000 | Top1 Avg 15.058570
Epoch 0 | Batch 820/1063 | Loss 3.184806 | Top1 Val 31.250000 | Top1 Avg 15.149208
Epoch 0 | Batch 830/1063 | Loss 3.183045 | Top1 Val 31.250000 | Top1 Avg 15.169976
Epoch 0 | Batch 840/1063 | Loss 3.179461 | Top1 Val 31.250000 | Top1 Avg 15.249703
Epoch 0 | Batch 850/1063 | Loss 3.177567 | Top1 Val 0.000000 | Top1 Avg 15.254113
Epoch 0 | Batch 860/1063 | Loss 3.174877 | Top1 Val 31.250000 | Top1 Avg 15.360046
Epoch 0 | Batch 870/1063 | Loss 3.173109 | Top1 Val 12.500000 | Top1 Avg 15.377440
Epoch 0 | Batch 880/1063 | Loss 3.170569 | Top1 Val 31.250000 | Top1 Avg 15.401532
Epoch 0 | Batch 890/1063 | Loss 3.167478 | Top1 Val 12.500000 | Top1 Avg 15.439113
Epoch 0 | Batch 900/1063 | Loss 3.163830 | Top1 Val 12.500000 | Top1 Avg 15.475860
Epoch 0 | Batch 910/1063 | Loss 3.160131 | Top1 Val 12.500000 | Top1 Avg 15.587267
Epoch 0 | Batch 920/1063 | Loss 3.157260 | Top1 Val 31.250000 | Top1 Avg 15.641965
Epoch 0 | Batch 930/1063 | Loss 3.156480 | Top1 Val 6.250000 | Top1 Avg 15.675349
Epoch 0 | Batch 940/1063 | Loss 3.152973 | Top1 Val 6.250000 | Top1 Avg 15.721307
Epoch 0 | Batch 950/1063 | Loss 3.149962 | Top1 Val 12.500000 | Top1 Avg 15.746583
Epoch 0 | Batch 960/1063 | Loss 3.147212 | Top1 Val 37.500000 | Top1 Avg 15.790843
Epoch 0 | Batch 970/1063 | Loss 3.145503 | Top1 Val 18.750000 | Top1 Avg 15.827755
Epoch 0 | Batch 980/1063 | Loss 3.143193 | Top1 Val 18.750000 | Top1 Avg 15.844801
Epoch 0 | Batch 990/1063 | Loss 3.142509 | Top1 Val 12.500000 | Top1 Avg 15.867810
Epoch 0 | Batch 1000/1063 | Loss 3.140220 | Top1 Val 6.250000 | Top1 Avg 15.934066
Epoch 0 | Batch 1010/1063 | Loss 3.138739 | Top1 Val 31.250000 | Top1 Avg 15.968101
Epoch 0 | Batch 1020/1063 | Loss 3.137127 | Top1 Val 18.750000 | Top1 Avg 16.001469
Epoch 0 | Batch 1030/1063 | Loss 3.135498 | Top1 Val 6.250000 | Top1 Avg 16.022066
Epoch 0 | Batch 1040/1063 | Loss 3.133972 | Top1 Val 6.250000 | Top1 Avg 16.018252
