/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
Files already downloaded and verified
Epoch 0 | Batch 0/1063 | Loss 4.587870 | Top1 Val 6.250000 | Top1 Avg 6.250000
Epoch 0 | Batch 10/1063 | Loss 4.799147 | Top1 Val 6.250000 | Top1 Avg 5.113636
Epoch 0 | Batch 20/1063 | Loss 4.372647 | Top1 Val 6.250000 | Top1 Avg 4.464286
Epoch 0 | Batch 30/1063 | Loss 4.162077 | Top1 Val 0.000000 | Top1 Avg 4.435484
Epoch 0 | Batch 40/1063 | Loss 4.026362 | Top1 Val 18.750000 | Top1 Avg 4.878049
Epoch 0 | Batch 50/1063 | Loss 3.932959 | Top1 Val 6.250000 | Top1 Avg 5.024510
Epoch 0 | Batch 60/1063 | Loss 3.865408 | Top1 Val 6.250000 | Top1 Avg 5.122951
Epoch 0 | Batch 70/1063 | Loss 3.832613 | Top1 Val 0.000000 | Top1 Avg 4.929577
Epoch 0 | Batch 80/1063 | Loss 3.809759 | Top1 Val 0.000000 | Top1 Avg 4.552469
Epoch 0 | Batch 90/1063 | Loss 3.780752 | Top1 Val 6.250000 | Top1 Avg 4.807692
Epoch 0 | Batch 100/1063 | Loss 3.746149 | Top1 Val 0.000000 | Top1 Avg 4.888614
Epoch 0 | Batch 110/1063 | Loss 3.744523 | Top1 Val 0.000000 | Top1 Avg 4.954955
Epoch 0 | Batch 120/1063 | Loss 3.719360 | Top1 Val 12.500000 | Top1 Avg 5.423554
Epoch 0 | Batch 130/1063 | Loss 3.700087 | Top1 Val 12.500000 | Top1 Avg 5.534351
Epoch 0 | Batch 140/1063 | Loss 3.690939 | Top1 Val 12.500000 | Top1 Avg 5.585106
Epoch 0 | Batch 150/1063 | Loss 3.674963 | Top1 Val 0.000000 | Top1 Avg 5.463576
Epoch 0 | Batch 160/1063 | Loss 3.658520 | Top1 Val 6.250000 | Top1 Avg 5.628882
Epoch 0 | Batch 170/1063 | Loss 3.645613 | Top1 Val 25.000000 | Top1 Avg 5.592105
Epoch 0 | Batch 180/1063 | Loss 3.640968 | Top1 Val 6.250000 | Top1 Avg 5.559392
Epoch 0 | Batch 190/1063 | Loss 3.636752 | Top1 Val 0.000000 | Top1 Avg 5.497382
Epoch 0 | Batch 200/1063 | Loss 3.627112 | Top1 Val 6.250000 | Top1 Avg 5.503731
Epoch 0 | Batch 210/1063 | Loss 3.613590 | Top1 Val 18.750000 | Top1 Avg 5.805687
Epoch 0 | Batch 220/1063 | Loss 3.609824 | Top1 Val 12.500000 | Top1 Avg 5.910633
Epoch 0 | Batch 230/1063 | Loss 3.602762 | Top1 Val 6.250000 | Top1 Avg 5.844156
Epoch 0 | Batch 240/1063 | Loss 3.596236 | Top1 Val 0.000000 | Top1 Avg 5.783195
Epoch 0 | Batch 250/1063 | Loss 3.590261 | Top1 Val 6.250000 | Top1 Avg 5.901394
Epoch 0 | Batch 260/1063 | Loss 3.584103 | Top1 Val 6.250000 | Top1 Avg 5.890805
Epoch 0 | Batch 270/1063 | Loss 3.580971 | Top1 Val 0.000000 | Top1 Avg 5.927122
Epoch 0 | Batch 280/1063 | Loss 3.573668 | Top1 Val 6.250000 | Top1 Avg 6.049822
Epoch 0 | Batch 290/1063 | Loss 3.564616 | Top1 Val 6.250000 | Top1 Avg 6.099656
Epoch 0 | Batch 300/1063 | Loss 3.556979 | Top1 Val 18.750000 | Top1 Avg 6.229236
Epoch 0 | Batch 310/1063 | Loss 3.550526 | Top1 Val 18.750000 | Top1 Avg 6.330386
Epoch 0 | Batch 320/1063 | Loss 3.548230 | Top1 Val 0.000000 | Top1 Avg 6.250000
Epoch 0 | Batch 330/1063 | Loss 3.541343 | Top1 Val 12.500000 | Top1 Avg 6.306647
Epoch 0 | Batch 340/1063 | Loss 3.537968 | Top1 Val 6.250000 | Top1 Avg 6.286657
Epoch 0 | Batch 350/1063 | Loss 3.534296 | Top1 Val 6.250000 | Top1 Avg 6.321225
Epoch 0 | Batch 360/1063 | Loss 3.530438 | Top1 Val 6.250000 | Top1 Avg 6.353878
Epoch 0 | Batch 370/1063 | Loss 3.525410 | Top1 Val 18.750000 | Top1 Avg 6.469003
Epoch 0 | Batch 380/1063 | Loss 3.515682 | Top1 Val 25.000000 | Top1 Avg 6.709318
Epoch 0 | Batch 390/1063 | Loss 3.514980 | Top1 Val 6.250000 | Top1 Avg 6.745524
