/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
Files already downloaded and verified
Epoch 0 | Batch 0/1063 | Loss 4.777982 | Top1 Val 0.000000 | Top1 Avg 0.000000
Epoch 0 | Batch 10/1063 | Loss 4.489914 | Top1 Val 12.500000 | Top1 Avg 2.840909
Epoch 0 | Batch 20/1063 | Loss 4.107627 | Top1 Val 12.500000 | Top1 Avg 3.869048
Epoch 0 | Batch 30/1063 | Loss 3.943837 | Top1 Val 0.000000 | Top1 Avg 4.838710
Epoch 0 | Batch 40/1063 | Loss 3.893750 | Top1 Val 6.250000 | Top1 Avg 4.420732
Epoch 0 | Batch 50/1063 | Loss 3.814233 | Top1 Val 6.250000 | Top1 Avg 4.289216
Epoch 0 | Batch 60/1063 | Loss 3.743619 | Top1 Val 12.500000 | Top1 Avg 4.918033
Epoch 0 | Batch 70/1063 | Loss 3.704619 | Top1 Val 6.250000 | Top1 Avg 5.017606
Epoch 0 | Batch 80/1063 | Loss 3.667504 | Top1 Val 6.250000 | Top1 Avg 5.246914
Epoch 0 | Batch 90/1063 | Loss 3.634118 | Top1 Val 6.250000 | Top1 Avg 5.837912
Epoch 0 | Batch 100/1063 | Loss 3.604894 | Top1 Val 18.750000 | Top1 Avg 6.373762
Epoch 0 | Batch 110/1063 | Loss 3.581364 | Top1 Val 25.000000 | Top1 Avg 6.981982
Epoch 0 | Batch 120/1063 | Loss 3.559767 | Top1 Val 12.500000 | Top1 Avg 7.128099
Epoch 0 | Batch 130/1063 | Loss 3.546961 | Top1 Val 18.750000 | Top1 Avg 7.156489
Epoch 0 | Batch 140/1063 | Loss 3.533684 | Top1 Val 0.000000 | Top1 Avg 7.180851
Epoch 0 | Batch 150/1063 | Loss 3.514649 | Top1 Val 18.750000 | Top1 Avg 7.326159
Epoch 0 | Batch 160/1063 | Loss 3.502256 | Top1 Val 12.500000 | Top1 Avg 7.647516
Epoch 0 | Batch 170/1063 | Loss 3.493825 | Top1 Val 6.250000 | Top1 Avg 7.711988
