/home/yunhui/anaconda2/lib/python2.7/site-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
/home/yunhui/anaconda2/lib/python2.7/site-packages/torchvision/transforms/transforms.py:188: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  "please use transforms.Resize instead.")
Files already downloaded and verified
Using downloaded and verified file: ./256_ObjectCategories.tar
Epoch 0 | Batch 0/1063 | Loss 5.357386 | Top1 Val 0.000000 | Top1 Avg 0.000000
Epoch 0 | Batch 10/1063 | Loss 4.675652 | Top1 Val 0.000000 | Top1 Avg 1.136364
Epoch 0 | Batch 20/1063 | Loss 4.362571 | Top1 Val 12.500000 | Top1 Avg 2.976190
Epoch 0 | Batch 30/1063 | Loss 4.140142 | Top1 Val 0.000000 | Top1 Avg 4.032258
Epoch 0 | Batch 40/1063 | Loss 3.992038 | Top1 Val 0.000000 | Top1 Avg 4.878049
Epoch 0 | Batch 50/1063 | Loss 3.921685 | Top1 Val 0.000000 | Top1 Avg 4.779412
Epoch 0 | Batch 60/1063 | Loss 3.839310 | Top1 Val 0.000000 | Top1 Avg 5.020492
Epoch 0 | Batch 70/1063 | Loss 3.779678 | Top1 Val 0.000000 | Top1 Avg 5.281690
Epoch 0 | Batch 80/1063 | Loss 3.738314 | Top1 Val 0.000000 | Top1 Avg 6.018519
Epoch 0 | Batch 90/1063 | Loss 3.702325 | Top1 Val 0.000000 | Top1 Avg 6.250000
Epoch 0 | Batch 100/1063 | Loss 3.679545 | Top1 Val 6.250000 | Top1 Avg 6.497525
Epoch 0 | Batch 110/1063 | Loss 3.655083 | Top1 Val 12.500000 | Top1 Avg 6.813063
Epoch 0 | Batch 120/1063 | Loss 3.638168 | Top1 Val 18.750000 | Top1 Avg 7.179752
Epoch 0 | Batch 130/1063 | Loss 3.624834 | Top1 Val 12.500000 | Top1 Avg 7.061069
Epoch 0 | Batch 140/1063 | Loss 3.611787 | Top1 Val 12.500000 | Top1 Avg 7.180851
Epoch 0 | Batch 150/1063 | Loss 3.596394 | Top1 Val 0.000000 | Top1 Avg 7.243377
Epoch 0 | Batch 160/1063 | Loss 3.581892 | Top1 Val 12.500000 | Top1 Avg 7.647516
Epoch 0 | Batch 170/1063 | Loss 3.567500 | Top1 Val 31.250000 | Top1 Avg 7.821637
Epoch 0 | Batch 180/1063 | Loss 3.565586 | Top1 Val 0.000000 | Top1 Avg 7.803867
Epoch 0 | Batch 190/1063 | Loss 3.556293 | Top1 Val 6.250000 | Top1 Avg 7.918848
Epoch 0 | Batch 200/1063 | Loss 3.545262 | Top1 Val 6.250000 | Top1 Avg 7.835821
Epoch 0 | Batch 210/1063 | Loss 3.538129 | Top1 Val 18.750000 | Top1 Avg 7.760664
Epoch 0 | Batch 220/1063 | Loss 3.529286 | Top1 Val 12.500000 | Top1 Avg 7.833710
Epoch 0 | Batch 230/1063 | Loss 3.525029 | Top1 Val 6.250000 | Top1 Avg 7.738095
Epoch 0 | Batch 240/1063 | Loss 3.519606 | Top1 Val 6.250000 | Top1 Avg 7.780083
Epoch 0 | Batch 250/1063 | Loss 3.513732 | Top1 Val 6.250000 | Top1 Avg 7.694223
Epoch 0 | Batch 260/1063 | Loss 3.503528 | Top1 Val 6.250000 | Top1 Avg 7.782567
Epoch 0 | Batch 270/1063 | Loss 3.496400 | Top1 Val 12.500000 | Top1 Avg 7.726015
Epoch 0 | Batch 280/1063 | Loss 3.486595 | Top1 Val 12.500000 | Top1 Avg 7.829181
Epoch 0 | Batch 290/1063 | Loss 3.482523 | Top1 Val 6.250000 | Top1 Avg 7.796392
Epoch 0 | Batch 300/1063 | Loss 3.476238 | Top1 Val 18.750000 | Top1 Avg 7.890365
Epoch 0 | Batch 310/1063 | Loss 3.473092 | Top1 Val 6.250000 | Top1 Avg 7.897910
Epoch 0 | Batch 320/1063 | Loss 3.469916 | Top1 Val 12.500000 | Top1 Avg 7.827103
Epoch 0 | Batch 330/1063 | Loss 3.465091 | Top1 Val 12.500000 | Top1 Avg 7.892749
Epoch 0 | Batch 340/1063 | Loss 3.461343 | Top1 Val 6.250000 | Top1 Avg 7.972874
Epoch 0 | Batch 350/1063 | Loss 3.456801 | Top1 Val 6.250000 | Top1 Avg 8.048433
Epoch 0 | Batch 360/1063 | Loss 3.451613 | Top1 Val 6.250000 | Top1 Avg 8.137119
Epoch 0 | Batch 370/1063 | Loss 3.447458 | Top1 Val 0.000000 | Top1 Avg 8.338949
Epoch 0 | Batch 380/1063 | Loss 3.444351 | Top1 Val 0.000000 | Top1 Avg 8.300525
Epoch 0 | Batch 390/1063 | Loss 3.439678 | Top1 Val 12.500000 | Top1 Avg 8.455882
Epoch 0 | Batch 400/1063 | Loss 3.436603 | Top1 Val 6.250000 | Top1 Avg 8.369701
Epoch 0 | Batch 410/1063 | Loss 3.434608 | Top1 Val 6.250000 | Top1 Avg 8.333333
Epoch 0 | Batch 420/1063 | Loss 3.433243 | Top1 Val 6.250000 | Top1 Avg 8.298694
Epoch 0 | Batch 430/1063 | Loss 3.430546 | Top1 Val 0.000000 | Top1 Avg 8.251160
Epoch 0 | Batch 440/1063 | Loss 3.426280 | Top1 Val 18.750000 | Top1 Avg 8.304989
Epoch 0 | Batch 450/1063 | Loss 3.423434 | Top1 Val 6.250000 | Top1 Avg 8.328714
Epoch 0 | Batch 460/1063 | Loss 3.422225 | Top1 Val 6.250000 | Top1 Avg 8.432755
Epoch 0 | Batch 470/1063 | Loss 3.420237 | Top1 Val 18.750000 | Top1 Avg 8.452760
Epoch 0 | Batch 480/1063 | Loss 3.416844 | Top1 Val 25.000000 | Top1 Avg 8.523909
Epoch 0 | Batch 490/1063 | Loss 3.413365 | Top1 Val 12.500000 | Top1 Avg 8.528513
Epoch 0 | Batch 500/1063 | Loss 3.406244 | Top1 Val 18.750000 | Top1 Avg 8.695110
Epoch 0 | Batch 510/1063 | Loss 3.405705 | Top1 Val 12.500000 | Top1 Avg 8.708415
Epoch 0 | Batch 520/1063 | Loss 3.401761 | Top1 Val 6.250000 | Top1 Avg 8.769194
Epoch 0 | Batch 530/1063 | Loss 3.401070 | Top1 Val 0.000000 | Top1 Avg 8.721751
Epoch 0 | Batch 540/1063 | Loss 3.398687 | Top1 Val 18.750000 | Top1 Avg 8.791590
Epoch 0 | Batch 550/1063 | Loss 3.395129 | Top1 Val 6.250000 | Top1 Avg 8.813521
Epoch 0 | Batch 560/1063 | Loss 3.393975 | Top1 Val 12.500000 | Top1 Avg 8.856952
Epoch 0 | Batch 570/1063 | Loss 3.391360 | Top1 Val 6.250000 | Top1 Avg 8.887916
Epoch 0 | Batch 580/1063 | Loss 3.386960 | Top1 Val 25.000000 | Top1 Avg 8.982358
Epoch 0 | Batch 590/1063 | Loss 3.386299 | Top1 Val 18.750000 | Top1 Avg 8.946701
Epoch 0 | Batch 600/1063 | Loss 3.384444 | Top1 Val 12.500000 | Top1 Avg 8.985025
Epoch 0 | Batch 610/1063 | Loss 3.380701 | Top1 Val 12.500000 | Top1 Avg 9.073241
Epoch 0 | Batch 620/1063 | Loss 3.377699 | Top1 Val 0.000000 | Top1 Avg 9.098229
Epoch 0 | Batch 630/1063 | Loss 3.376145 | Top1 Val 6.250000 | Top1 Avg 9.152139
Epoch 0 | Batch 640/1063 | Loss 3.373088 | Top1 Val 6.250000 | Top1 Avg 9.204368
Epoch 0 | Batch 650/1063 | Loss 3.370779 | Top1 Val 6.250000 | Top1 Avg 9.245392
Epoch 0 | Batch 660/1063 | Loss 3.371543 | Top1 Val 12.500000 | Top1 Avg 9.237897
Epoch 0 | Batch 670/1063 | Loss 3.368369 | Top1 Val 6.250000 | Top1 Avg 9.267884
Epoch 0 | Batch 680/1063 | Loss 3.366494 | Top1 Val 12.500000 | Top1 Avg 9.352056
Epoch 0 | Batch 690/1063 | Loss 3.365412 | Top1 Val 0.000000 | Top1 Avg 9.397612
Epoch 0 | Batch 700/1063 | Loss 3.363053 | Top1 Val 6.250000 | Top1 Avg 9.424037
Epoch 0 | Batch 710/1063 | Loss 3.360993 | Top1 Val 6.250000 | Top1 Avg 9.414557
Epoch 0 | Batch 720/1063 | Loss 3.358699 | Top1 Val 6.250000 | Top1 Avg 9.466019
Epoch 0 | Batch 730/1063 | Loss 3.356667 | Top1 Val 6.250000 | Top1 Avg 9.524624
Epoch 0 | Batch 740/1063 | Loss 3.352153 | Top1 Val 25.000000 | Top1 Avg 9.606950
Epoch 0 | Batch 750/1063 | Loss 3.349807 | Top1 Val 25.000000 | Top1 Avg 9.645473
Epoch 0 | Batch 760/1063 | Loss 3.346910 | Top1 Val 12.500000 | Top1 Avg 9.682983
Epoch 0 | Batch 770/1063 | Loss 3.344937 | Top1 Val 12.500000 | Top1 Avg 9.768158
Epoch 0 | Batch 780/1063 | Loss 3.344037 | Top1 Val 0.000000 | Top1 Avg 9.787132
Epoch 0 | Batch 790/1063 | Loss 3.341789 | Top1 Val 12.500000 | Top1 Avg 9.797724
Epoch 0 | Batch 800/1063 | Loss 3.338570 | Top1 Val 18.750000 | Top1 Avg 9.893883
Epoch 0 | Batch 810/1063 | Loss 3.335803 | Top1 Val 0.000000 | Top1 Avg 9.918311
Epoch 0 | Batch 820/1063 | Loss 3.334139 | Top1 Val 12.500000 | Top1 Avg 9.942144
Epoch 0 | Batch 830/1063 | Loss 3.332995 | Top1 Val 12.500000 | Top1 Avg 9.965403
Epoch 0 | Batch 840/1063 | Loss 3.331771 | Top1 Val 0.000000 | Top1 Avg 9.965815
Epoch 0 | Batch 850/1063 | Loss 3.331215 | Top1 Val 0.000000 | Top1 Avg 9.980905
Epoch 0 | Batch 860/1063 | Loss 3.332955 | Top1 Val 6.250000 | Top1 Avg 9.944832
Epoch 0 | Batch 870/1063 | Loss 3.332137 | Top1 Val 0.000000 | Top1 Avg 9.945465
Epoch 0 | Batch 880/1063 | Loss 3.330849 | Top1 Val 18.750000 | Top1 Avg 9.960272
Epoch 0 | Batch 890/1063 | Loss 3.330088 | Top1 Val 12.500000 | Top1 Avg 9.967733
Epoch 0 | Batch 900/1063 | Loss 3.328111 | Top1 Val 18.750000 | Top1 Avg 10.037458
Epoch 0 | Batch 910/1063 | Loss 3.326549 | Top1 Val 0.000000 | Top1 Avg 10.064490
Epoch 0 | Batch 920/1063 | Loss 3.325368 | Top1 Val 6.250000 | Top1 Avg 10.043431
Epoch 0 | Batch 930/1063 | Loss 3.323071 | Top1 Val 31.250000 | Top1 Avg 10.110097
Epoch 0 | Batch 940/1063 | Loss 3.322053 | Top1 Val 18.750000 | Top1 Avg 10.142136
Epoch 0 | Batch 950/1063 | Loss 3.321325 | Top1 Val 12.500000 | Top1 Avg 10.140641
Epoch 0 | Batch 960/1063 | Loss 3.319064 | Top1 Val 12.500000 | Top1 Avg 10.165193
Epoch 0 | Batch 970/1063 | Loss 3.317356 | Top1 Val 6.250000 | Top1 Avg 10.189238
Epoch 0 | Batch 980/1063 | Loss 3.315877 | Top1 Val 6.250000 | Top1 Avg 10.212793
Epoch 0 | Batch 990/1063 | Loss 3.315045 | Top1 Val 18.750000 | Top1 Avg 10.223259
Epoch 0 | Batch 1000/1063 | Loss 3.314964 | Top1 Val 25.000000 | Top1 Avg 10.252248
Epoch 0 | Batch 1010/1063 | Loss 3.313059 | Top1 Val 0.000000 | Top1 Avg 10.255935
Epoch 0 | Batch 1020/1063 | Loss 3.312592 | Top1 Val 0.000000 | Top1 Avg 10.210578
Epoch 0 | Batch 1030/1063 | Loss 3.310287 | Top1 Val 18.750000 | Top1 Avg 10.263094
Epoch 0 | Batch 1040/1063 | Loss 3.308967 | Top1 Val 12.500000 | Top1 Avg 10.314601
Epoch 0 | Batch 1050/1063 | Loss 3.306186 | Top1 Val 25.000000 | Top1 Avg 10.400809
