/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
Epoch 0 | Batch 0/368 | Loss 5.415034 | Top1 Val 0.000000 | Top1 Avg 0.000000
Epoch 0 | Batch 10/368 | Loss 5.567045 | Top1 Val 6.250000 | Top1 Avg 0.568182
Epoch 0 | Batch 20/368 | Loss 5.616042 | Top1 Val 0.000000 | Top1 Avg 0.892857
Epoch 0 | Batch 30/368 | Loss 5.482360 | Top1 Val 0.000000 | Top1 Avg 1.209677
Epoch 0 | Batch 40/368 | Loss 5.377110 | Top1 Val 0.000000 | Top1 Avg 1.524390
Epoch 0 | Batch 50/368 | Loss 5.286646 | Top1 Val 0.000000 | Top1 Avg 1.593137
Epoch 0 | Batch 60/368 | Loss 5.229177 | Top1 Val 0.000000 | Top1 Avg 1.536885
Epoch 0 | Batch 70/368 | Loss 5.192171 | Top1 Val 6.250000 | Top1 Avg 1.672535
Epoch 0 | Batch 80/368 | Loss 5.149599 | Top1 Val 0.000000 | Top1 Avg 1.466049
Epoch 0 | Batch 90/368 | Loss 5.093579 | Top1 Val 0.000000 | Top1 Avg 1.579670
Epoch 0 | Batch 100/368 | Loss 5.066671 | Top1 Val 18.750000 | Top1 Avg 1.732673
Epoch 0 | Batch 110/368 | Loss 5.036842 | Top1 Val 0.000000 | Top1 Avg 2.027027
Epoch 0 | Batch 120/368 | Loss 5.008161 | Top1 Val 6.250000 | Top1 Avg 1.911157
Epoch 0 | Batch 130/368 | Loss 4.984514 | Top1 Val 0.000000 | Top1 Avg 1.812977
Epoch 0 | Batch 140/368 | Loss 4.962711 | Top1 Val 0.000000 | Top1 Avg 1.906028
Epoch 0 | Batch 150/368 | Loss 4.954742 | Top1 Val 0.000000 | Top1 Avg 1.903974
Epoch 0 | Batch 160/368 | Loss 4.941668 | Top1 Val 0.000000 | Top1 Avg 1.979814
Epoch 0 | Batch 170/368 | Loss 4.928136 | Top1 Val 0.000000 | Top1 Avg 2.010234
Epoch 0 | Batch 180/368 | Loss 4.907304 | Top1 Val 0.000000 | Top1 Avg 1.968232
Epoch 0 | Batch 190/368 | Loss 4.891310 | Top1 Val 0.000000 | Top1 Avg 1.996073
Epoch 0 | Batch 200/368 | Loss 4.877183 | Top1 Val 6.250000 | Top1 Avg 2.021144
Epoch 0 | Batch 210/368 | Loss 4.866308 | Top1 Val 0.000000 | Top1 Avg 1.954976
Epoch 0 | Batch 220/368 | Loss 4.860150 | Top1 Val 0.000000 | Top1 Avg 2.121041
Epoch 0 | Batch 230/368 | Loss 4.848068 | Top1 Val 0.000000 | Top1 Avg 2.110390
Epoch 0 | Batch 240/368 | Loss 4.834139 | Top1 Val 0.000000 | Top1 Avg 2.074689
Epoch 0 | Batch 250/368 | Loss 4.825309 | Top1 Val 0.000000 | Top1 Avg 2.091633
Epoch 0 | Batch 260/368 | Loss 4.817458 | Top1 Val 6.250000 | Top1 Avg 2.059387
Epoch 0 | Batch 270/368 | Loss 4.804915 | Top1 Val 0.000000 | Top1 Avg 2.052583
Epoch 0 | Batch 280/368 | Loss 4.794167 | Top1 Val 0.000000 | Top1 Avg 2.112989
Epoch 0 | Batch 290/368 | Loss 4.783136 | Top1 Val 0.000000 | Top1 Avg 2.083333
Epoch 0 | Batch 300/368 | Loss 4.774675 | Top1 Val 0.000000 | Top1 Avg 2.117940
Epoch 0 | Batch 310/368 | Loss 4.768761 | Top1 Val 0.000000 | Top1 Avg 2.130225
Epoch 0 | Batch 320/368 | Loss 4.760432 | Top1 Val 0.000000 | Top1 Avg 2.083333
Epoch 0 | Batch 330/368 | Loss 4.752314 | Top1 Val 0.000000 | Top1 Avg 2.077039
Epoch 0 | Batch 340/368 | Loss 4.745864 | Top1 Val 12.500000 | Top1 Avg 2.107771
Epoch 0 | Batch 350/368 | Loss 4.736737 | Top1 Val 6.250000 | Top1 Avg 2.118946
Epoch 0 | Batch 360/368 | Loss 4.729634 | Top1 Val 6.250000 | Top1 Avg 2.181440
Epoch 1 | Batch 0/368 | Loss 4.401023 | Top1 Val 6.250000 | Top1 Avg 2.236909
Epoch 1 | Batch 10/368 | Loss 4.386636 | Top1 Val 0.000000 | Top1 Avg 2.243854
Epoch 1 | Batch 20/368 | Loss 4.365472 | Top1 Val 0.000000 | Top1 Avg 2.266517
Epoch 1 | Batch 30/368 | Loss 4.406909 | Top1 Val 0.000000 | Top1 Avg 2.225357
Epoch 1 | Batch 40/368 | Loss 4.402302 | Top1 Val 6.250000 | Top1 Avg 2.262651
Epoch 1 | Batch 50/368 | Loss 4.393344 | Top1 Val 6.250000 | Top1 Avg 2.342934
