/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
Epoch 0 | Batch 0/368 | Loss 5.359142 | Top1 Val 0.000000 | Top1 Avg 0.000000
Epoch 0 | Batch 10/368 | Loss 5.482005 | Top1 Val 0.000000 | Top1 Avg 2.272727
Epoch 0 | Batch 20/368 | Loss 5.487606 | Top1 Val 0.000000 | Top1 Avg 2.083333
Epoch 0 | Batch 30/368 | Loss 5.396299 | Top1 Val 6.250000 | Top1 Avg 1.814516
Epoch 0 | Batch 40/368 | Loss 5.323209 | Top1 Val 0.000000 | Top1 Avg 1.676829
Epoch 0 | Batch 50/368 | Loss 5.223231 | Top1 Val 0.000000 | Top1 Avg 1.838235
Epoch 0 | Batch 60/368 | Loss 5.139917 | Top1 Val 6.250000 | Top1 Avg 2.049180
Epoch 0 | Batch 70/368 | Loss 5.087259 | Top1 Val 0.000000 | Top1 Avg 2.112676
Epoch 0 | Batch 80/368 | Loss 5.029615 | Top1 Val 0.000000 | Top1 Avg 2.083333
Epoch 0 | Batch 90/368 | Loss 4.984834 | Top1 Val 0.000000 | Top1 Avg 2.335165
Epoch 0 | Batch 100/368 | Loss 4.960602 | Top1 Val 0.000000 | Top1 Avg 2.103960
Epoch 0 | Batch 110/368 | Loss 4.929969 | Top1 Val 6.250000 | Top1 Avg 2.083333
Epoch 0 | Batch 120/368 | Loss 4.915547 | Top1 Val 0.000000 | Top1 Avg 1.911157
Epoch 0 | Batch 130/368 | Loss 4.894655 | Top1 Val 0.000000 | Top1 Avg 1.765267
Epoch 0 | Batch 140/368 | Loss 4.879146 | Top1 Val 0.000000 | Top1 Avg 1.640071
Epoch 0 | Batch 150/368 | Loss 4.860468 | Top1 Val 0.000000 | Top1 Avg 1.614238
Epoch 0 | Batch 160/368 | Loss 4.853044 | Top1 Val 12.500000 | Top1 Avg 1.630435
Epoch 0 | Batch 170/368 | Loss 4.843057 | Top1 Val 6.250000 | Top1 Avg 1.681287
Epoch 0 | Batch 180/368 | Loss 4.828867 | Top1 Val 0.000000 | Top1 Avg 1.622928
Epoch 0 | Batch 190/368 | Loss 4.814426 | Top1 Val 0.000000 | Top1 Avg 1.636126
Epoch 0 | Batch 200/368 | Loss 4.801009 | Top1 Val 0.000000 | Top1 Avg 1.616915
Epoch 0 | Batch 210/368 | Loss 4.791753 | Top1 Val 6.250000 | Top1 Avg 1.658768
Epoch 0 | Batch 220/368 | Loss 4.782920 | Top1 Val 0.000000 | Top1 Avg 1.640271
Epoch 0 | Batch 230/368 | Loss 4.774552 | Top1 Val 0.000000 | Top1 Avg 1.596320
Epoch 0 | Batch 240/368 | Loss 4.767816 | Top1 Val 0.000000 | Top1 Avg 1.556017
Epoch 0 | Batch 250/368 | Loss 4.758676 | Top1 Val 6.250000 | Top1 Avg 1.543825
Epoch 0 | Batch 260/368 | Loss 4.748130 | Top1 Val 0.000000 | Top1 Avg 1.580460
Epoch 0 | Batch 270/368 | Loss 4.735169 | Top1 Val 0.000000 | Top1 Avg 1.614391
Epoch 0 | Batch 280/368 | Loss 4.727203 | Top1 Val 0.000000 | Top1 Avg 1.712633
Epoch 0 | Batch 290/368 | Loss 4.717569 | Top1 Val 0.000000 | Top1 Avg 1.761168
Epoch 0 | Batch 300/368 | Loss 4.708031 | Top1 Val 0.000000 | Top1 Avg 1.806478
Epoch 0 | Batch 310/368 | Loss 4.703325 | Top1 Val 12.500000 | Top1 Avg 1.828778
Epoch 0 | Batch 320/368 | Loss 4.695329 | Top1 Val 0.000000 | Top1 Avg 1.830218
Epoch 0 | Batch 330/368 | Loss 4.686090 | Top1 Val 0.000000 | Top1 Avg 1.869335
Epoch 0 | Batch 340/368 | Loss 4.680013 | Top1 Val 6.250000 | Top1 Avg 1.887830
Epoch 0 | Batch 350/368 | Loss 4.675609 | Top1 Val 6.250000 | Top1 Avg 1.851852
