/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:188: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  "please use transforms.Resize instead.")
Epoch 0 | Batch 0/368 | Loss 5.356806 | Top1 Val 0.000000 | Top1 Avg 0.000000
Epoch 0 | Batch 10/368 | Loss 5.495123 | Top1 Val 0.000000 | Top1 Avg 2.272727
Epoch 0 | Batch 20/368 | Loss 5.331384 | Top1 Val 0.000000 | Top1 Avg 2.083333
Epoch 0 | Batch 30/368 | Loss 5.188693 | Top1 Val 0.000000 | Top1 Avg 1.612903
Epoch 0 | Batch 40/368 | Loss 5.100219 | Top1 Val 0.000000 | Top1 Avg 1.524390
Epoch 0 | Batch 50/368 | Loss 5.035909 | Top1 Val 0.000000 | Top1 Avg 1.348039
Epoch 0 | Batch 60/368 | Loss 4.984629 | Top1 Val 0.000000 | Top1 Avg 1.434426
Epoch 0 | Batch 70/368 | Loss 4.930060 | Top1 Val 0.000000 | Top1 Avg 1.584507
Epoch 0 | Batch 80/368 | Loss 4.897174 | Top1 Val 0.000000 | Top1 Avg 1.543210
Epoch 0 | Batch 90/368 | Loss 4.860222 | Top1 Val 0.000000 | Top1 Avg 1.510989
Epoch 0 | Batch 100/368 | Loss 4.829649 | Top1 Val 0.000000 | Top1 Avg 1.608911
Epoch 0 | Batch 110/368 | Loss 4.808926 | Top1 Val 0.000000 | Top1 Avg 1.632883
Epoch 0 | Batch 120/368 | Loss 4.783348 | Top1 Val 6.250000 | Top1 Avg 1.704545
Epoch 0 | Batch 130/368 | Loss 4.768925 | Top1 Val 0.000000 | Top1 Avg 1.717557
Epoch 0 | Batch 140/368 | Loss 4.749223 | Top1 Val 0.000000 | Top1 Avg 1.684397
Epoch 0 | Batch 150/368 | Loss 4.739851 | Top1 Val 0.000000 | Top1 Avg 1.572848
Epoch 0 | Batch 160/368 | Loss 4.726349 | Top1 Val 0.000000 | Top1 Avg 1.669255
Epoch 0 | Batch 170/368 | Loss 4.714768 | Top1 Val 0.000000 | Top1 Avg 1.827485
Epoch 0 | Batch 180/368 | Loss 4.706099 | Top1 Val 0.000000 | Top1 Avg 1.761050
Epoch 0 | Batch 190/368 | Loss 4.694122 | Top1 Val 0.000000 | Top1 Avg 1.832461
Epoch 0 | Batch 200/368 | Loss 4.688465 | Top1 Val 0.000000 | Top1 Avg 1.772388
Epoch 0 | Batch 210/368 | Loss 4.679458 | Top1 Val 0.000000 | Top1 Avg 1.747630
Epoch 0 | Batch 220/368 | Loss 4.670635 | Top1 Val 0.000000 | Top1 Avg 1.809955
Epoch 0 | Batch 230/368 | Loss 4.662108 | Top1 Val 0.000000 | Top1 Avg 1.812771
Epoch 0 | Batch 240/368 | Loss 4.652714 | Top1 Val 6.250000 | Top1 Avg 1.841286
Epoch 0 | Batch 250/368 | Loss 4.648240 | Top1 Val 6.250000 | Top1 Avg 1.867530
Epoch 0 | Batch 260/368 | Loss 4.640999 | Top1 Val 0.000000 | Top1 Avg 1.939655
Epoch 0 | Batch 270/368 | Loss 4.633072 | Top1 Val 0.000000 | Top1 Avg 1.960332
Epoch 0 | Batch 280/368 | Loss 4.626563 | Top1 Val 6.250000 | Top1 Avg 2.001779
Epoch 0 | Batch 290/368 | Loss 4.621900 | Top1 Val 6.250000 | Top1 Avg 2.040378
Epoch 0 | Batch 300/368 | Loss 4.615479 | Top1 Val 0.000000 | Top1 Avg 1.993355
Epoch 0 | Batch 310/368 | Loss 4.610210 | Top1 Val 6.250000 | Top1 Avg 1.989550
Epoch 0 | Batch 320/368 | Loss 4.604759 | Top1 Val 0.000000 | Top1 Avg 2.005452
Epoch 0 | Batch 330/368 | Loss 4.598583 | Top1 Val 0.000000 | Top1 Avg 2.039275
Epoch 0 | Batch 340/368 | Loss 4.596556 | Top1 Val 0.000000 | Top1 Avg 2.107771
Epoch 0 | Batch 350/368 | Loss 4.590833 | Top1 Val 0.000000 | Top1 Avg 2.101140
Epoch 0 | Batch 360/368 | Loss 4.589507 | Top1 Val 6.250000 | Top1 Avg 2.129501
Epoch 1 | Batch 0/368 | Loss 4.647266 | Top1 Val 0.000000 | Top1 Avg 2.152178
Epoch 1 | Batch 10/368 | Loss 4.510705 | Top1 Val 0.000000 | Top1 Avg 2.128362
Epoch 1 | Batch 20/368 | Loss 4.424822 | Top1 Val 0.000000 | Top1 Avg 2.186144
Epoch 1 | Batch 30/368 | Loss 4.374562 | Top1 Val 0.000000 | Top1 Avg 2.241028
Epoch 1 | Batch 40/368 | Loss 4.377797 | Top1 Val 6.250000 | Top1 Avg 2.277939
Epoch 1 | Batch 50/368 | Loss 4.390177 | Top1 Val 0.000000 | Top1 Avg 2.298164
Epoch 1 | Batch 60/368 | Loss 4.388993 | Top1 Val 0.000000 | Top1 Avg 2.288296
Epoch 1 | Batch 70/368 | Loss 4.386817 | Top1 Val 6.250000 | Top1 Avg 2.335850
Epoch 1 | Batch 80/368 | Loss 4.371126 | Top1 Val 12.500000 | Top1 Avg 2.436986
Epoch 1 | Batch 90/368 | Loss 4.382843 | Top1 Val 0.000000 | Top1 Avg 2.451982
Epoch 1 | Batch 100/368 | Loss 4.380285 | Top1 Val 0.000000 | Top1 Avg 2.453006
Epoch 1 | Batch 110/368 | Loss 4.383338 | Top1 Val 6.250000 | Top1 Avg 2.493147
Epoch 1 | Batch 120/368 | Loss 4.398314 | Top1 Val 0.000000 | Top1 Avg 2.480501
Epoch 1 | Batch 130/368 | Loss 4.398081 | Top1 Val 0.000000 | Top1 Avg 2.480892
Epoch 1 | Batch 140/368 | Loss 4.397902 | Top1 Val 6.250000 | Top1 Avg 2.481268
Epoch 1 | Batch 150/368 | Loss 4.390536 | Top1 Val 12.500000 | Top1 Avg 2.553909
Epoch 1 | Batch 160/368 | Loss 4.382482 | Top1 Val 0.000000 | Top1 Avg 2.552890
Epoch 1 | Batch 170/368 | Loss 4.380572 | Top1 Val 0.000000 | Top1 Avg 2.563508
Epoch 1 | Batch 180/368 | Loss 4.384412 | Top1 Val 6.250000 | Top1 Avg 2.573739
Epoch 1 | Batch 190/368 | Loss 4.382775 | Top1 Val 6.250000 | Top1 Avg 2.583604
Epoch 1 | Batch 200/368 | Loss 4.382193 | Top1 Val 6.250000 | Top1 Avg 2.582134
Epoch 1 | Batch 210/368 | Loss 4.382101 | Top1 Val 0.000000 | Top1 Avg 2.591513
Epoch 1 | Batch 220/368 | Loss 4.380477 | Top1 Val 18.750000 | Top1 Avg 2.600573
Epoch 1 | Batch 230/368 | Loss 4.383523 | Top1 Val 0.000000 | Top1 Avg 2.619768
Epoch 1 | Batch 240/368 | Loss 4.379998 | Top1 Val 6.250000 | Top1 Avg 2.628067
Epoch 1 | Batch 250/368 | Loss 4.382174 | Top1 Val 0.000000 | Top1 Avg 2.615897
Epoch 1 | Batch 260/368 | Loss 4.381261 | Top1 Val 6.250000 | Top1 Avg 2.633933
Epoch 1 | Batch 270/368 | Loss 4.382885 | Top1 Val 0.000000 | Top1 Avg 2.631836
Epoch 1 | Batch 280/368 | Loss 4.378011 | Top1 Val 12.500000 | Top1 Avg 2.687602
Epoch 1 | Batch 290/368 | Loss 4.376657 | Top1 Val 6.250000 | Top1 Avg 2.703728
Epoch 1 | Batch 300/368 | Loss 4.374415 | Top1 Val 6.250000 | Top1 Avg 2.775442
Epoch 1 | Batch 310/368 | Loss 4.371589 | Top1 Val 0.000000 | Top1 Avg 2.799006
Epoch 1 | Batch 320/368 | Loss 4.367945 | Top1 Val 6.250000 | Top1 Avg 2.803738
Epoch 1 | Batch 330/368 | Loss 4.363751 | Top1 Val 6.250000 | Top1 Avg 2.826223
Epoch 1 | Batch 340/368 | Loss 4.359218 | Top1 Val 6.250000 | Top1 Avg 2.830438
Epoch 1 | Batch 350/368 | Loss 4.358861 | Top1 Val 0.000000 | Top1 Avg 2.843231
Epoch 1 | Batch 360/368 | Loss 4.362027 | Top1 Val 0.000000 | Top1 Avg 2.821370
Epoch 2 | Batch 0/368 | Loss 4.215919 | Top1 Val 6.250000 | Top1 Avg 2.850840
Epoch 2 | Batch 10/368 | Loss 4.209001 | Top1 Val 0.000000 | Top1 Avg 2.879625
Epoch 2 | Batch 20/368 | Loss 4.350154 | Top1 Val 0.000000 | Top1 Avg 2.866347
Epoch 2 | Batch 30/368 | Loss 4.315294 | Top1 Val 6.250000 | Top1 Avg 2.910484
Epoch 2 | Batch 40/368 | Loss 4.287620 | Top1 Val 6.250000 | Top1 Avg 2.961532
Epoch 2 | Batch 50/368 | Loss 4.279936 | Top1 Val 12.500000 | Top1 Avg 3.027173
Epoch 2 | Batch 60/368 | Loss 4.289206 | Top1 Val 0.000000 | Top1 Avg 3.028401
Epoch 2 | Batch 70/368 | Loss 4.285988 | Top1 Val 12.500000 | Top1 Avg 3.060592
