/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
Epoch 0 | Batch 0/353 | Loss 5.496328 | Top1 Val 0.000000 | Top1 Avg 0.000000
Epoch 0 | Batch 10/353 | Loss 4.806343 | Top1 Val 6.250000 | Top1 Avg 2.272727
Epoch 0 | Batch 20/353 | Loss 4.627977 | Top1 Val 6.250000 | Top1 Avg 2.083333
Epoch 0 | Batch 30/353 | Loss 4.473029 | Top1 Val 0.000000 | Top1 Avg 3.225806
Epoch 0 | Batch 40/353 | Loss 4.343055 | Top1 Val 6.250000 | Top1 Avg 4.115854
Epoch 0 | Batch 50/353 | Loss 4.319011 | Top1 Val 0.000000 | Top1 Avg 4.044118
Epoch 0 | Batch 60/353 | Loss 4.273998 | Top1 Val 0.000000 | Top1 Avg 3.586066
Epoch 0 | Batch 70/353 | Loss 4.254115 | Top1 Val 12.500000 | Top1 Avg 3.433099
Epoch 0 | Batch 80/353 | Loss 4.224404 | Top1 Val 0.000000 | Top1 Avg 3.240741
Epoch 0 | Batch 90/353 | Loss 4.192164 | Top1 Val 0.000000 | Top1 Avg 3.365385
Epoch 0 | Batch 100/353 | Loss 4.164033 | Top1 Val 6.250000 | Top1 Avg 3.341584
Epoch 0 | Batch 110/353 | Loss 4.155377 | Top1 Val 6.250000 | Top1 Avg 3.378378
Epoch 0 | Batch 120/353 | Loss 4.135272 | Top1 Val 0.000000 | Top1 Avg 3.460744
Epoch 0 | Batch 130/353 | Loss 4.124275 | Top1 Val 6.250000 | Top1 Avg 3.578244
Epoch 0 | Batch 140/353 | Loss 4.105529 | Top1 Val 12.500000 | Top1 Avg 3.812057
Epoch 0 | Batch 150/353 | Loss 4.086076 | Top1 Val 6.250000 | Top1 Avg 3.890728
Epoch 0 | Batch 160/353 | Loss 4.070012 | Top1 Val 0.000000 | Top1 Avg 3.998447
Epoch 0 | Batch 170/353 | Loss 4.058494 | Top1 Val 0.000000 | Top1 Avg 4.093567
Epoch 0 | Batch 180/353 | Loss 4.046163 | Top1 Val 6.250000 | Top1 Avg 4.074586
Epoch 0 | Batch 190/353 | Loss 4.033382 | Top1 Val 12.500000 | Top1 Avg 4.188482
Epoch 0 | Batch 200/353 | Loss 4.026267 | Top1 Val 6.250000 | Top1 Avg 4.166667
Epoch 0 | Batch 210/353 | Loss 4.014978 | Top1 Val 18.750000 | Top1 Avg 4.295024
Epoch 0 | Batch 220/353 | Loss 4.003344 | Top1 Val 0.000000 | Top1 Avg 4.411765
Epoch 0 | Batch 230/353 | Loss 3.996709 | Top1 Val 0.000000 | Top1 Avg 4.356061
Epoch 0 | Batch 240/353 | Loss 3.982228 | Top1 Val 6.250000 | Top1 Avg 4.382780
Epoch 0 | Batch 250/353 | Loss 3.979137 | Top1 Val 0.000000 | Top1 Avg 4.407371
Epoch 0 | Batch 260/353 | Loss 3.974788 | Top1 Val 6.250000 | Top1 Avg 4.454023
Epoch 0 | Batch 270/353 | Loss 3.967376 | Top1 Val 12.500000 | Top1 Avg 4.428044
Epoch 0 | Batch 280/353 | Loss 3.962956 | Top1 Val 0.000000 | Top1 Avg 4.359431
Epoch 0 | Batch 290/353 | Loss 3.955754 | Top1 Val 0.000000 | Top1 Avg 4.467354
Epoch 0 | Batch 300/353 | Loss 3.950610 | Top1 Val 12.500000 | Top1 Avg 4.485050
Epoch 0 | Batch 310/353 | Loss 3.943686 | Top1 Val 0.000000 | Top1 Avg 4.581994
