/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
Epoch 0 | Batch 0/353 | Loss 5.381342 | Top1 Val 0.000000 | Top1 Avg 0.000000
Epoch 0 | Batch 10/353 | Loss 5.085252 | Top1 Val 0.000000 | Top1 Avg 2.272727
Epoch 0 | Batch 20/353 | Loss 4.855832 | Top1 Val 18.750000 | Top1 Avg 3.273810
Epoch 0 | Batch 30/353 | Loss 4.631191 | Top1 Val 6.250000 | Top1 Avg 4.233871
Epoch 0 | Batch 40/353 | Loss 4.474048 | Top1 Val 6.250000 | Top1 Avg 3.810976
Epoch 0 | Batch 50/353 | Loss 4.374789 | Top1 Val 0.000000 | Top1 Avg 3.553922
Epoch 0 | Batch 60/353 | Loss 4.305591 | Top1 Val 6.250000 | Top1 Avg 3.381148
Epoch 0 | Batch 70/353 | Loss 4.281596 | Top1 Val 6.250000 | Top1 Avg 3.609155
Epoch 0 | Batch 80/353 | Loss 4.244946 | Top1 Val 0.000000 | Top1 Avg 3.626543
Epoch 0 | Batch 90/353 | Loss 4.213398 | Top1 Val 6.250000 | Top1 Avg 3.502747
Epoch 0 | Batch 100/353 | Loss 4.178289 | Top1 Val 6.250000 | Top1 Avg 3.341584
Epoch 0 | Batch 110/353 | Loss 4.151386 | Top1 Val 6.250000 | Top1 Avg 3.434685
Epoch 0 | Batch 120/353 | Loss 4.134630 | Top1 Val 0.000000 | Top1 Avg 3.357438
Epoch 0 | Batch 130/353 | Loss 4.113753 | Top1 Val 6.250000 | Top1 Avg 3.578244
Epoch 0 | Batch 140/353 | Loss 4.108221 | Top1 Val 0.000000 | Top1 Avg 3.413121
Epoch 0 | Batch 150/353 | Loss 4.096258 | Top1 Val 6.250000 | Top1 Avg 3.394040
Epoch 0 | Batch 160/353 | Loss 4.088839 | Top1 Val 6.250000 | Top1 Avg 3.338509
Epoch 0 | Batch 170/353 | Loss 4.083743 | Top1 Val 6.250000 | Top1 Avg 3.289474
Epoch 0 | Batch 180/353 | Loss 4.072547 | Top1 Val 0.000000 | Top1 Avg 3.245856
Epoch 0 | Batch 190/353 | Loss 4.064993 | Top1 Val 0.000000 | Top1 Avg 3.108639
Epoch 0 | Batch 200/353 | Loss 4.055226 | Top1 Val 0.000000 | Top1 Avg 3.016169
Epoch 0 | Batch 210/353 | Loss 4.046879 | Top1 Val 0.000000 | Top1 Avg 2.991706
Epoch 0 | Batch 220/353 | Loss 4.038597 | Top1 Val 6.250000 | Top1 Avg 3.054299
Epoch 0 | Batch 230/353 | Loss 4.031510 | Top1 Val 0.000000 | Top1 Avg 3.003247
Epoch 0 | Batch 240/353 | Loss 4.023832 | Top1 Val 0.000000 | Top1 Avg 2.982365
Epoch 0 | Batch 250/353 | Loss 4.017562 | Top1 Val 6.250000 | Top1 Avg 2.988048
Epoch 0 | Batch 260/353 | Loss 4.015309 | Top1 Val 0.000000 | Top1 Avg 2.945402
Epoch 0 | Batch 270/353 | Loss 4.009428 | Top1 Val 6.250000 | Top1 Avg 3.067343
Epoch 0 | Batch 280/353 | Loss 4.002978 | Top1 Val 0.000000 | Top1 Avg 3.091637
Epoch 0 | Batch 290/353 | Loss 3.996994 | Top1 Val 12.500000 | Top1 Avg 3.114261
Epoch 0 | Batch 300/353 | Loss 3.992890 | Top1 Val 6.250000 | Top1 Avg 3.239203
Epoch 0 | Batch 310/353 | Loss 3.987342 | Top1 Val 6.250000 | Top1 Avg 3.255627
Epoch 0 | Batch 320/353 | Loss 3.981903 | Top1 Val 6.250000 | Top1 Avg 3.232087
Epoch 0 | Batch 330/353 | Loss 3.977376 | Top1 Val 18.750000 | Top1 Avg 3.379909
