/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:563: UserWarning: The use of the transforms.RandomSizedCrop transform is deprecated, please use transforms.RandomResizedCrop instead.
  "please use transforms.RandomResizedCrop instead.")
/usr/local/lib/python2.7/dist-packages/torchvision/transforms/transforms.py:188: UserWarning: The use of the transforms.Scale transform is deprecated, please use transforms.Resize instead.
  "please use transforms.Resize instead.")
Epoch 0 | Batch 0/100 | Loss 20.497221
Epoch 0 | Batch 10/100 | Loss 8.507355
Epoch 0 | Batch 20/100 | Loss 5.795918
Epoch 0 | Batch 30/100 | Loss 4.496614
Epoch 0 | Batch 40/100 | Loss 3.768791
Epoch 0 | Batch 50/100 | Loss 3.303070
Epoch 0 | Batch 60/100 | Loss 2.986462
Epoch 0 | Batch 70/100 | Loss 2.745168
Epoch 0 | Batch 80/100 | Loss 2.573658
Epoch 0 | Batch 90/100 | Loss 2.436769
Epoch 1 | Batch 0/100 | Loss 1.325566
Epoch 1 | Batch 10/100 | Loss 1.340268
Epoch 1 | Batch 20/100 | Loss 1.361907
Epoch 1 | Batch 30/100 | Loss 1.326690
Epoch 1 | Batch 40/100 | Loss 1.319443
Epoch 1 | Batch 50/100 | Loss 1.311967
Epoch 1 | Batch 60/100 | Loss 1.301136
Epoch 1 | Batch 70/100 | Loss 1.294891
Epoch 1 | Batch 80/100 | Loss 1.292555
Epoch 1 | Batch 90/100 | Loss 1.290677
Epoch 2 | Batch 0/100 | Loss 1.339627
Epoch 2 | Batch 10/100 | Loss 1.276862
Epoch 2 | Batch 20/100 | Loss 1.269395
Epoch 2 | Batch 30/100 | Loss 1.268733
Epoch 2 | Batch 40/100 | Loss 1.254268
Epoch 2 | Batch 50/100 | Loss 1.244599
Epoch 2 | Batch 60/100 | Loss 1.233484
Epoch 2 | Batch 70/100 | Loss 1.234477
Epoch 2 | Batch 80/100 | Loss 1.232819
Epoch 2 | Batch 90/100 | Loss 1.235613
Epoch 3 | Batch 0/100 | Loss 1.383675
Epoch 3 | Batch 10/100 | Loss 1.227896
Epoch 3 | Batch 20/100 | Loss 1.251125
Epoch 3 | Batch 30/100 | Loss 1.240082
Epoch 3 | Batch 40/100 | Loss 1.227375
Epoch 3 | Batch 50/100 | Loss 1.216645
Epoch 3 | Batch 60/100 | Loss 1.199919
Epoch 3 | Batch 70/100 | Loss 1.207369
Epoch 3 | Batch 80/100 | Loss 1.208512
Epoch 3 | Batch 90/100 | Loss 1.210282
Epoch 4 | Batch 0/100 | Loss 1.033131
Epoch 4 | Batch 10/100 | Loss 1.253857
Epoch 4 | Batch 20/100 | Loss 1.222494
Epoch 4 | Batch 30/100 | Loss 1.221324
Epoch 4 | Batch 40/100 | Loss 1.224850
Epoch 4 | Batch 50/100 | Loss 1.204453
Epoch 4 | Batch 60/100 | Loss 1.188814
Epoch 4 | Batch 70/100 | Loss 1.174028
Epoch 4 | Batch 80/100 | Loss 1.158655
Epoch 4 | Batch 90/100 | Loss 1.158679
Epoch 5 | Batch 0/100 | Loss 1.007384
